context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Coherence_score,Coherence_reasoning,Creativity_score,Creativity_reasoning,Depth_score,Depth_reasoning,Politeness_score,Politeness_reasoning,Humor_score,Humor_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,3.0,"The response is relevant to the conversation as it follows up on the mention of HBO and asks for recommendations, which is a natural continuation of the dialogue.",3.0,"The response is engaging because it shows interest in the other person's preferences and asks for recommendations, which can lead to a conversation about shared interests.",3.0,"The response is coherent because it logically follows from the previous conversation about HBO and asks for recommendations on what to watch, which is a natural continuation of the dialogue.",2.0,"The response is a straightforward question that follows the conversation flow, but it doesn't introduce the fact in a novel or unexpected way. The fact is not presented at all, but the response is still relevant to the context.",2.0,"The response asks for recommendations on what to watch on HBO, which is a relevant and engaging follow-up question to the previous conversation. It shows interest in the other person's preferences and opinions, and has the potential to lead to a more in-depth discussion about TV shows and movies. However, it does not delve particularly deep into the topic of HBO or documentaries, and is more of a surface-level inquiry. Therefore, the depth of the response is Medium.",3.0,"The response is polite and shows interest in the other person's preferences, asking for recommendations in a friendly manner.",1.0,"The response does not contain any humor. It is a straightforward question asking for recommendations, which is a normal conversation flow. There is no attempt to be funny or witty."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,3.0,"The response directly addresses the user's question about why we hiccup and provides a relevant and interesting fact from early evolution, making it highly relevant to the conversation and the fact itself.",3.0,"The response introduces a new and intriguing fact about hiccups, which is likely to capture the interest of the conversational partner and encourage further dialogue.",3.0,"The response directly answers the question about hiccups and provides a relevant fact from early evolution, showing a clear and logical connection to the context.",1.0,"The response presents the fact in a straightforward manner, without adding any unexpected twist or novelty to the conversation. The fact is simply stated as is, without any creative spin or connection to the previous conversation.",3.0,"The response provides a thoughtful and insightful explanation of the origin of hiccups, showing a good understanding of the topic and its evolutionary context. This adds depth to the conversation by exploring the topic in a meaningful way.",3.0,"The response is polite and respectful, as it acknowledges the user's question and provides a relevant and interesting fact in a neutral tone.",1.0,The response does not use humor to enhance the conversation. It simply states a fact about hiccups without any attempt at humor.
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,3.0,"The response is relevant to the context as it introduces the speaker's age and family, which could be a conversation starter. The interesting fact about the persona's age and having an older brother is also incorporated well.",1.0,The response is brief and only shares the age and family information without introducing new or intriguing information that could provoke curiosity or encourage further dialogue.,3.0,"The response is coherent because it naturally introduces the persona's age and family relationship, which could be a relevant topic in a conversation about daily life or personal experiences.",2.0,"The response is a straightforward presentation of the fact, without adding any unexpected twist or novelty to the conversation.",1.0,"The response only mentions two personal facts (age and having an older brother) without exploring or providing thoughtful insights about the topic, thus lacking depth.",3.0,"The response is a simple statement that shares personal information in a friendly and approachable manner, which is respectful and polite.",1.0,The response is a simple statement of fact and does not contain any humor
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1.0,The response does not relate to the conversation about the cultural revolution in China or the interesting fact about Billy Mays' funeral. It seems to be a random statement about clothes.,1.0,The response does not relate to the fact provided and does not provoke curiosity or interest in the conversation.,1.0,"The response does not logically follow from the context, which discusses the cultural revolution in China and the origin of polo shirts. The response seems unrelated to the previous conversation and lacks coherence.",1.0,"The response does not relate to the fact provided and seems to introduce a new topic. The fact about Billy Mays' funeral is not presented in a novel or engaging manner, and the response does not add an unexpected twist to the dialogue.",1.0,"The response does not add any meaningful depth to the conversation. It seems unrelated to the topic of Billy Mays' funeral and the fact provided. The conversation was discussing a historical event and a specific fact, but the response shifts to a vague statement about clothes without any connection to the previous discussion.",1.0,The response does not acknowledge or show respect to the fact provided and seems to introduce a new topic in a somewhat abrupt manner.,1.0,The response does not relate to the fact provided and does not add any humor to the conversation.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,3.0,"The response is relevant to the conversation as it relates to the user's personal life and feelings, and also incorporates their persona as a housekeeper. The fact about being a housekeeper is directly mentioned in the response, making it a strong connection to the interesting fact.",1.0,"The response does not introduce new or intriguing information, and it does not pose a question that encourages further dialogue. It simply states a fact about the speaker's job, which may not be interesting or relatable to the other person in the conversation.",3.0,"The response is coherent because it logically follows from the context of the conversation, where the speaker is discussing their personal life and feelings. The mention of the housekeeping job also adds a personal touch and is grammatically correct.",2.0,"The response is straightforward and relevant to the conversation, but it doesn't introduce the fact in a novel or unexpected way. The mention of the housekeeping job is a simple statement and doesn't add an unexpected twist to the dialogue.",1.0,The response does not add much depth to the conversation as it only provides a brief statement about the person's job without exploring the topic of the children's visit or the husband's feelings in a meaningful way.,2.0,"The response is polite as it does not contain any offensive or aggressive language, but it is also somewhat reserved and does not offer much empathy or support, which is why it is not rated as highly polite.",1.0,"The response does not use humor to enhance the conversation. The tone is somber and reflective, matching the context of the conversation about feeling lonely and unvisited by children. The mention of the housekeeping job not being social is a statement of fact rather than an attempt at humor."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,3.0,The response is relevant to the conversation about football and incorporates the interesting fact about the University of Iowa's locker room in a natural way.,3.0,"The response introduces a new and intriguing piece of information about the University of Iowa's locker room, which is likely to pique the interest of the other person in the conversation and encourage them to respond with curiosity.",3.0,The response is coherent because it naturally follows from the context of discussing football and shows interest in a specific fact related to football,2.0,"The response introduces the fact in a subtle and intriguing way, encouraging the other person to engage and share knowledge, thus showing a Medium level of creativity.",2.0,"The response is rated as Medium for Depth because it attempts to add a new fact to the conversation, but it does so in a somewhat superficial way, without exploring the topic of football or the fact itself in greater depth. The question about the locker room color is a bit abrupt and doesn't necessarily follow from the previous conversation.",3.0,The response is polite and shows interest in the conversation by asking a question related to the topic of football.,2.0,"The response is attempting to be humorous by asking a question about the color of the University of Iowa's visitor locker room, which is a unique fact. However, the humor is not explicitly stated and may not be immediately clear to the conversation partner. The response is more of a conversation starter than a humorous statement."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1.0,"The response does not relate to the conversation about Studio Ghibli, animated films, or the events in D.C., and the mention of Ella Fitzgerald seems unrelated to the context. The interesting fact provided is about various events in D.C., but the response does not incorporate or relate to this information.",1.0,"The response does not relate to the previous conversation about Studio Ghibli and the events in D.C., and the introduction of Ella Fitzgerald seems out of context. It does not provoke curiosity or encourage further dialogue about the topic at hand.",2.0,"The response does not logically follow from the context, which discusses Studio Ghibli, animated films, and events in D.C. The mention of Ella Fitzgerald seems unrelated to the previous conversation. However, the response is grammatically correct.",1.0,"The response does not relate to the provided fact or the context of the conversation, and the introduction of Ella Fitzgerald seems unrelated and unoriginal.",1.0,The response does not add any meaningful depth to the conversation. It seems unrelated to the previous discussion about Studio Ghibli and the events in D.C. The mention of Ella Fitzgerald comes out of nowhere and doesn't explore the topic in a thoughtful or insightful way.,2.0,"The response is somewhat polite but lacks a clear connection to the previous conversation and the provided fact. It abruptly changes the subject to Ella Fitzgerald without a smooth transition, which might be perceived as slightly impolite or dismissive of the previous topic.",1.0,The response does not contain any humor. It is a straightforward recommendation to check out a show and a question about listening to Ella Fitzgerald. There is no attempt to be funny or lighthearted.
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,3.0,"The response is relevant to the conversation as it mentions chess tournaments, which was previously discussed. It also relates to the interesting fact that the persona likes to play chess. The response fits well into the ongoing dialogue and incorporates the interesting fact effectively.",3.0,"The response introduces new information about competing in a national chess tournament, which is a personal and interesting aspect of the speaker's life. This can provoke curiosity and encourage further dialogue, making it engaging.",3.0,"The response is logically consistent with the conversation, and the speaker's interest in chess is already established. The grammatical structure is also correct.",2.0,"The response is a straightforward statement about competing in a chess tournament, which is a relevant and expected continuation of the conversation. However, it does not introduce the fact in a particularly original or inventive way.",3.0,"The response adds depth to the conversation by providing a thoughtful insight into the user's life, specifically their competitive chess endeavors, which is a meaningful exploration of the topic of chess and focus.",3.0,"The response is polite and respectful, as it shares personal information and interests in a friendly manner.",1.0,The response does not contain any humor. It is a straightforward statement about competing in a chess tournament and does not attempt to be funny or lighthearted.
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1.0,The response does not relate to the conversation about building a robot or the interesting fact about designing the game Starcraft or other facts. It seems to be a non-sequitur introduction of unrelated topics.,1.0,"The response does not introduce new, intriguing information or pose a question that encourages further dialogue. It seems unrelated to the context and does not capture interest or provoke curiosity.",1.0,"The response does not logically follow from the context of the conversation, which is about the person's job as a kindergarten teacher and the other person's work on building a robot. The response suddenly shifts to being a sports fan and a fan of gaming, which is unrelated to the previous conversation. The grammatical structure is correct, but the response lacks coherence due to its lack of logical flow.",1.0,The response does not incorporate the interesting fact in a creative or original way. It seems unrelated to the context and the fact provided.,1.0,"The response does not add any meaningful depth to the conversation. It introduces unrelated topics (sports and gaming) without connecting them to the context of the conversation, which is about building a robot and being a kindergarten teacher. The response lacks thoughtful insights and exploration of the topic.",1.0,"The response does not relate to the context of the conversation and does not acknowledge the other person's statement, making it seem impolite and disconnected.",1.0,"The response does not use humor effectively, as it does not relate to the context of the conversation or the provided fact. The conversation is about the person's profession as a kindergarten teacher and the other person's work on building a robot, while the response suddenly shifts to being a sports and gaming fan without any connection or humorous twist."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,1.0,"The response does not relate to the conversation about the movie 'Incredibles II' or the fact about the video game sequel 'The Incredibles: Rise of the Underminer'. The response seems to introduce unrelated information about the director being in the movie as a kid, which is not relevant to the context or the fact provided.",1.0,The response does not introduce new information or pose a question that encourages further dialogue. It seems to be a continuation of the previous statement without adding any interesting fact or curiosity-provoking element.,1.0,"The response does not logically follow from the context, as it mentions the director being in the movie as a kid, which is not related to the previous conversation. The grammatical structure is correct, but the response lacks coherence due to its lack of relevance to the conversation.",1.0,"The response does not introduce the fact in an unexpected and engaging manner, and it does not add an unexpected twist to the dialogue. The fact about the video game sequel is not mentioned at all, and the response seems unrelated to the provided fact.",1.0,"The response does not add any meaningful depth to the conversation. It mentions the director being perfect for the movie and being in the movie as a kid, but this is not related to the fact provided and does not explore the topic in a thoughtful or insightful way.",2.0,"The response does not directly address the fact provided and seems somewhat disconnected from the conversation. However, it does not contain any rude or impolite language, thus it can be considered as having a medium level of politeness.",1.0,The response does not contain any humor. It is a straightforward statement about the director and does not attempt to be funny.
