context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Coherence_score,Coherence_reasoning,Creativity_score,Creativity_reasoning,Depth_score,Depth_reasoning,Politeness_score,Politeness_reasoning,Humor_score,Humor_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,3.0,"The response is relevant as it continues the conversation about HBO and seeks recommendations, which is a natural progression from the previous exchange.",3.0,"The response introduces a new conversational hook by asking for recommendations, which can lead to further discussion and sharing of interests.",3.0,"The response is logically consistent with the preceding conversation, as it follows the discussion about HBO and the types of shows they prefer. It also flows naturally by asking for recommendations, which is a common follow-up in such a conversation. The grammatical structure is correct and easily understandable.",1.0,"The response is straightforward and does not introduce any novel or inventive elements. It simply asks for recommendations, which is a common and expected continuation of the conversation.",2.0,"The response seeks to continue the conversation by asking for recommendations, which shows an interest in the other person's preferences and opens up the possibility for further discussion. However, it does not add significant depth or insight into the topic of Game of Thrones or HBO content.",3.0,"The response is polite and respectful, showing interest in the other person's preferences and asking for recommendations.",1.0,"The response does not contain any humor. It is a straightforward question asking for recommendations, which is appropriate for the context but does not enhance the conversation through humor."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,3.0,"The response directly incorporates the interesting fact about hiccups, making it highly relevant to the conversation and the provided fact.",3.0,"The response introduces a unique and intriguing fact about the evolutionary origins of hiccups, which is likely to pique curiosity and encourage further discussion.",3.0,The response is logically consistent with the question asked and provides the requested information. It is also grammatically correct.,1.0,The response directly states the fact without adding any originality or inventive twist to the conversation. It is a straightforward and predictable delivery of the information.,3.0,"The response directly provides the fact about hiccups being a holdover from early evolution, which adds a layer of biological and evolutionary insight to the conversation. This demonstrates a thoughtful and insightful contribution to the discussion.",3.0,"The response is direct and informative, maintaining a neutral tone that is respectful and polite.",1.0,The response does not include any humor. It simply states a fact without any attempt to make the conversation more engaging or light-hearted.
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,3.0,"The response is directly relevant to the provided persona facts, specifically mentioning the age and having an older brother.",2.0,"The response introduces personal information that could lead to further questions or sharing, but it does not introduce a new or intriguing topic or question.",3.0,The response is logically consistent with the context of a greeting and personal introduction. It is grammatically correct and provides a natural flow from the previous dialogue.,1.0,"The response is straightforward and does not introduce the fact in an unexpected or engaging manner. It simply states the age and mentions the older brother, which is a direct and predictable way to use the provided persona facts.",2.0,"The response provides a personal detail that adds a layer of depth to the conversation, but it does not explore the topic further or provide a thoughtful insight.",3.0,The response is brief but maintains a respectful and polite tone. It does not include any rude or offensive language.,1.0,The response does not contain any humor. It is a straightforward statement about the speaker's age and sibling.
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1.0,"The response does not relate to the conversation about the cultural revolution in China or the interesting fact about Billy Mays' funeral. It introduces a new and unrelated topic about clothing, which does not fit the context.",1.0,"The response does not relate to the provided fact or the context of the conversation, and it fails to introduce new, intriguing information or pose a question that encourages further dialogue.",1.0,The response does not logically follow from the previous dialogue about the cultural revolution in China and the interesting fact about Billy Mays' funeral. It also does not relate to the context of the conversation.,1.0,The response does not relate to the provided fact about Billy Mays' funeral and does not introduce any novel or inventive element to the conversation.,1.0,The response does not add depth to the conversation or explore the topic meaningfully. It does not relate to the provided fact about Billy Mays' funeral and does not provide any insightful or relevant information.,1.0,"The response is not relevant to the conversation and does not address the fact provided. It also does not maintain the flow of the conversation and seems out of place, which can be considered impolite in a conversational context.",1.0,The response does not incorporate the provided fact and does not attempt to use humor. It is a generic statement that does not enhance the conversation or relate to the context.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,2.0,"The response is relevant to the context as it continues the conversation about the speaker's personal life and job. However, it does not directly address the interesting fact provided.",2.0,"The response is somewhat engaging as it provides a personal insight into the speaker's life, but it does not introduce new information or a conversational hook that would provoke further curiosity or dialogue.",3.0,"The response is logically consistent with the context, as it follows the flow of the conversation about social interactions and personal feelings. The mention of the housekeeping job is relevant to the persona and the conversation's tone. Grammatically, the response is correct and easily understandable.",1.0,The response is straightforward and does not introduce the fact in a particularly novel or inventive way. It simply states a fact about the speaker's job without adding any unexpected twist or engaging element.,2.0,"The response provides a personal insight into the speaker's life, explaining why they might not talk to others about their issues, which adds a layer of depth to the conversation.",3.0,"The response is respectful and maintains a polite tone, even though it conveys a somewhat isolated lifestyle.",1.0,"The response does not contain any humor. It is a straightforward and somewhat somber continuation of the conversation, which fits the context but does not enhance the conversation through humor."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,3.0,The response directly relates to the conversation about football and introduces the interesting fact about the University of Iowa's visitor locker room in a relevant manner.,3.0,"The response introduces a surprising and specific fact about the University of Iowa's visitor locker room, which is likely to pique curiosity and encourage further discussion.",3.0,"The response is logically consistent with the context of the conversation, as it follows up on the topic of football. It also naturally introduces the interesting fact about the University of Iowa's locker room. The grammatical structure is correct and the response is easily understandable.",2.0,The response introduces the fact in a straightforward manner but does not add an unexpected twist or present it in a particularly novel way.,3.0,"The response introduces a new and interesting fact about the University of Iowa's visitor locker room, which adds a unique and thoughtful element to the conversation. It encourages further discussion and exploration of the topic.",3.0,The response is polite and shows interest in the conversation by asking a question related to the fact provided.,3.0,"The response introduces a surprising and humorous fact about the University of Iowa's visitor locker room being painted pink, which is likely to elicit a laugh or at least a smile. The humor is light and appropriate for the context of a conversation about football."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1.0,The response is not relevant to the preceding conversation or the interesting fact. It abruptly shifts to a new topic without any connection to the previous discussion about Studio Ghibli films or the events in D.C.,1.0,"The response does not maintain the flow of the conversation about DC events and introduces a new topic (Ella Fitzgerald) without a clear connection. It fails to engage with the provided fact or the previous context, thus reducing the potential for curiosity and further dialogue.",1.0,"The response does not logically follow from the previous dialogue. It abruptly shifts to a new topic without any connection to the previous conversation about Studio Ghibli and the events in D.C. Additionally, the grammatical structure is somewhat awkward, particularly with the phrase 'get it up.'",1.0,The response does not introduce the fact in a novel or engaging way. It shifts the topic to Ella Fitzgerald without connecting it to the previous discussion or the provided fact about events in D.C.,1.0,The response does not add depth to the conversation. It shifts the topic to Ella Fitzgerald without connecting it to the previous discussion about events in D.C. or Studio Ghibli films.,1.0,The response is abrupt and transitions to a new topic without acknowledging the previous statement about the crab feast. The phrase 'get it up' can be seen as impolite or inappropriate in this context.,1.0,"The response does not contain any humor. It is a straightforward suggestion to check out a show and a question about listening to Ella Fitzgerald, which does not enhance the conversation through humor."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,3.0,The response is highly relevant to the conversation as it directly follows up on the mention of chess tournaments and provides additional context about the speaker's current activities. It also aligns with the persona of being a chess player.,3.0,"The response introduces a specific and intriguing detail about competing in a national chess tournament, which can pique interest and encourage further questions about the competition or chess in general.",3.0,"The response is logically consistent with the context, as it follows from the previous mention of chess tournaments. It is also grammatically correct and flows naturally from the conversation.",2.0,"The response introduces a specific and personal goal (competing in a national chess tournament) that ties back to the persona and the previous mention of chess. It also provides a logical continuation of the conversation by explaining how the activity helps with focus, which is relevant to the context.",3.0,"The response provides a specific and relevant insight into the speaker's life, tying together the mention of chess and the need for focus, which adds depth to the conversation.",3.0,The response is respectful and maintains a polite tone. It provides a clear and relevant answer to the question without any offensive or rude elements.,1.0,"The response does not include any humor. It is a straightforward and factual statement about the speaker's chess competition, which does not enhance the conversation through humor."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,2.0,"The response introduces a new topic (sports) that is not directly related to the previous conversation about building a robot. The mention of gaming is somewhat relevant as it could connect to the persona of being a Twitch streamer, but it does not directly relate to the context of the conversation.",1.0,"The response does not align with the context of the conversation, which is about building a robot. It also does not introduce new, intriguing information or pose a question that encourages further dialogue.",1.0,"The response does not follow logically from the previous dialogue. The conversation was about building a robot and the speaker's clumsiness with electronics, but the response shifts to being a sports fan and a fan of gaming, which is not coherent with the context.",1.0,The response does not introduce any of the provided facts and is a generic statement that does not add originality or inventiveness to the conversation.,1.0,"The response does not add depth to the conversation. It introduces a new topic (sports and gaming) without connecting it to the previous context about building a robot, and it does not explore the topic of robotics or electronics in any meaningful way.",2.0,"The response is off-topic and does not follow up on the previous statement about being clumsy with electronics. However, it is still polite and does not contain any rude or disrespectful content.",1.0,The response does not contain any humor and does not attempt to enhance the conversation through humorous elements. It is a straightforward statement that does not align with the context or the provided persona facts.
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,2.0,"The response does not incorporate the interesting fact about the video game sequel and does not directly relate to the previous discussion about the cast and director's involvement in the movie. It is a somewhat relevant continuation of the conversation about the director, but it misses the opportunity to introduce the new fact.",1.0,"The response does not introduce new, intriguing information or pose a question that encourages further dialogue. It simply reiterates a minor point about the director being in the movie as a kid, which is not particularly engaging.",1.0,The response does not mention the interesting fact about the video game sequel and does not logically follow from the previous dialogue about the director's involvement in the movie. It also has a grammatical issue with the sentence structure.,1.0,The response does not introduce the provided fact and instead offers a less relevant comment about the director. It lacks originality and does not add an unexpected twist to the dialogue.,1.0,The response does not add significant depth or insight to the conversation. It does not mention the interesting fact about the video game sequel and instead provides a superficial comment about the director.,3.0,"The response is respectful and maintains a polite tone, although it does not directly address the fact provided.",1.0,The response does not incorporate any humor and does not attempt to enhance the conversation through humorous elements. It is a straightforward comment that does not engage with the interesting fact provided.
