context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Coherence_score,Coherence_reasoning,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Contextual Understanding_score,Contextual Understanding_reasoning,Fluency_score,Fluency_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,5.0,"The response directly follows the conversation about HBO and the shows available on it, making it relevant and coherent. It maintains the flow of the discussion by asking for recommendations, which is a natural progression after discussing preferences. The tone is friendly and engaging, fitting well with the previous exchanges.",5.0,"The response directly relates to the previous conversation about HBO and the shows available on it. It seeks to continue the discussion by asking for recommendations, which is relevant to the topic of what the individuals watch on HBO. This makes the response highly relevant to the ongoing conversation.",4.0,"The response is engaging as it invites the other person to share their interests and recommendations, which can lead to a more dynamic conversation. It shows curiosity and a willingness to explore new content, making it relevant to the previous discussion about HBO shows.",5.0,"The response demonstrates a good understanding of the context by asking a relevant question about HBO recommendations, which aligns with the previous statements about not being a fan of Game of Thrones and the mention of HBO's other content. It maintains the flow of the conversation and invites further discussion, showing coherence with the topic at hand.",5.0,"The response flows naturally from the previous turn, maintaining the conversational tone and context. It directly addresses the topic of HBO and seeks to continue the discussion by asking for recommendations, which is a logical follow-up. The phrasing is clear and grammatically correct, making it sound fluent and natural."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,5.0,"The response about hiccups being a holdover from early evolution fits well with the previous conversation about why we hiccup. It directly addresses the question posed and provides an interesting fact that is relevant to the topic. The tone remains consistent with the inquisitive nature of the conversation, making it coherent and flowing naturally from the previous exchange.",5.0,"The response directly addresses the question about hiccups by providing an interesting fact related to their evolutionary background. This is highly relevant to the ongoing conversation about hiccups, making it a strong continuation of the topic.",4.0,"The response provides an interesting fact about hiccups that ties back to the previous question about why we hiccup. This fact is engaging because it connects to evolutionary biology, which can spark curiosity and further discussion. However, the response could be more engaging if it included a personal touch or a follow-up question to keep the conversation flowing. Overall, it is informative and relevant, making it moderately engaging.",2.0,"The response provided does not effectively build on the previous conversation about radios and the curiosity about hiccups. While it does mention an interesting fact about hiccups, it fails to engage with the question asked about why we hiccup, which would have been a more relevant and coherent continuation of the dialogue. Instead, it presents the fact without connecting it to the ongoing discussion, leading to a lack of contextual understanding.",3.0,"The response is somewhat fluent but has a few awkward phrases, such as 'i do n't know . i know that...' which disrupts the flow. A more natural response would have been to directly state the fact without the unnecessary preamble. Overall, it conveys the information but lacks smoothness in delivery."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,5.0,"The response fits well with the context of the conversation, as it introduces the speaker's age and mentions having an older brother, which aligns with the fact provided. It maintains the conversational tone and adds relevant personal information that could lead to further discussion. Therefore, it is coherent and appropriate for the context.",5.0,"The response directly relates to the fact provided, which states that the persona has an older brother and is 13 years old. This makes the response relevant to the context of the conversation, as it aligns with the information about the persona's age and sibling relationship.",3.0,"The response is relevant to the context of the conversation, as it introduces a personal detail about the speaker's family, which can foster connection and engagement. However, it does not introduce a new topic or interesting fact that could further the conversation. Therefore, while it is somewhat engaging, it lacks the depth or novelty that would make it highly engaging.",5.0,"The response directly relates to the context of the conversation, which involves personal details about the individuals. It acknowledges the fact about having an older brother, which is relevant to the previous statements. The response is coherent and maintains the flow of the conversation, demonstrating a good understanding of the context.",5.0,"The response 'i'm 13 with an older brother .' is fluent and natural, as it directly relates to the fact provided and fits well into the context of the conversation. It maintains a conversational tone and structure, making it easy to follow. The use of 'i'm' instead of 'I am' is slightly informal but common in casual conversation, which adds to its naturalness. Overall, it flows well from the previous turn and is coherent."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1.0,"The response about clothing does not relate to the fact about Billy Mays' funeral attire. The conversation context is about clothing and its perception, but the response does not connect to the specific fact provided, which is about a specific event and attire. Therefore, it lacks coherence with the previous statements and the interesting fact.",1.0,"The response about how wearing more clothes makes you look better does not relate to the fact about Billy Mays' funeral attire. The conversation seems to be shifting away from the topic of clothing styles and their implications, and the response does not connect to the specific fact provided. Therefore, it is not relevant to the ongoing discussion.",1.0,"The response does not engage with the interesting fact about Billy Mays' funeral. Instead, it introduces a completely unrelated idea about clothing and appearance, which does not connect to the previous conversation or the fact provided. This lack of relevance and connection makes the response less engaging.",1.0,"The response does not relate to the previous conversation about clothing and the interesting fact about Billy Mays' funeral. It introduces a new idea about clothing that does not connect to the fact provided or the context of the conversation. Therefore, it shows a lack of contextual understanding.",2.0,The response does not flow naturally from the previous conversation about polo shirts and their origins. It introduces a new idea about clothing without connecting it to the previous topic or the interesting fact about Billy Mays' funeral attire. This makes it sound disjointed and less fluent.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,5.0,"The response fits well with the context of the conversation, as it continues the theme of discussing personal feelings and experiences related to family and social interactions. The mention of the housekeeping job aligns with the previous statements about the speaker's life and feelings of isolation. The tone remains consistent, and the flow of the conversation is maintained, making it coherent.",5.0,"The response directly addresses the previous statement about the speaker's feelings regarding their children not visiting and their job as a housekeeper. It reflects the persona's situation and feelings about social interactions, making it relevant to the ongoing conversation.",2.0,"The response is somewhat engaging as it reflects the persona's situation and feelings about their job, but it lacks a deeper connection or interesting element that could spark further conversation. It feels a bit closed off and doesn't invite more dialogue or exploration of the topic. Therefore, it scores a 2 for engagement.",4.0,"The response demonstrates a good understanding of the context by acknowledging the speaker's feelings about their children not visiting and their job as a housekeeper. It reflects the speaker's sentiment of isolation and aligns with the previous statements about personal struggles and social interactions. However, it could have been more empathetic or offered a suggestion for improving the situation, which would have enhanced the connection to the conversation. Overall, it is relevant and coherent, but lacks a bit of depth in emotional engagement.",5.0,"The response flows naturally from the previous turn, maintaining the conversational tone and addressing the topic of social interactions related to the speaker's job. It is coherent and relevant, making it sound fluent and natural."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,5.0,"The response directly relates to the topic of football and introduces a specific fact about the University of Iowa's locker room, which is relevant to the conversation. It maintains the flow and engages the other person by asking a question, making it coherent and appropriate for the context.",5.0,"The response directly relates to the topic of football and specifically references a fact about the University of Iowa's locker room, which is relevant to the ongoing conversation about football. It invites further discussion and shows interest in the fact presented.",5.0,"The response directly engages with the fact about the University of Iowa's locker room by asking a question that invites further discussion. It shows curiosity and encourages the other person to share their knowledge or thoughts about the topic, which enhances the overall engagement of the conversation. Therefore, it is rated highly on the engagement scale.",5.0,"The response demonstrates a good understanding of the context by directly referencing the University of Iowa's locker room color, which is relevant to the topic of football. It maintains coherence with the previous statements about football and adds a specific detail that invites further discussion. This shows awareness of the conversation's flow and topic.",5.0,"The response flows naturally from the previous turn, maintaining the conversational tone and context about football. It introduces a relevant fact about the University of Iowa's locker room in a way that feels organic, as it connects to the topic of football. The phrasing is clear and conversational, making it easy to understand. Overall, it feels like a natural continuation of the dialogue."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,2.0,"The response introduces a new topic (Ella Fitzgerald) that is not directly related to the previous conversation about Studio Ghibli films and events in D.C. While it attempts to maintain a conversational tone, it lacks coherence with the established context, which was focused on animated films and local events. Therefore, it does not flow well from the previous statements.",2.0,"The response introduces a new topic about Ella Fitzgerald, which is not directly related to the previous discussion about events and concerts in Washington, D.C. While it is a musical reference, it does not connect well with the context of the conversation, which is focused on specific events and performances. Therefore, the relevance is low.",3.0,"The response introduces a new topic by asking about Ella Fitzgerald, which could engage the other person in a discussion about music. However, it doesn't directly relate to the previous conversation about events and concerts, making it feel somewhat disconnected. While it does attempt to keep the conversation going, it lacks a strong connection to the context provided, which diminishes its overall engagement level.",1.0,"The response does not demonstrate a strong understanding of the context. The conversation is about animated films and events in Washington, D.C., but the response abruptly shifts to discussing Ella Fitzgerald, which is unrelated to the previous topic. This lack of coherence and relevance to the ongoing discussion indicates a low level of contextual understanding.",3.0,"The response attempts to engage the other person by suggesting they check out a show and asking about Ella Fitzgerald. However, the phrase 'get it up' is awkward and does not fit naturally into the conversation, making the overall response sound less fluent. The transition from discussing a concert to asking about Ella Fitzgerald feels somewhat disjointed, which affects the natural flow of the conversation."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,5.0,"The response fits well with the context of the conversation, as it continues the discussion about personal interests and activities. The mention of competing in a national chess tournament is relevant to the previous mention of chess and helps maintain the flow of the conversation. The tone is consistent with the previous exchanges, making it coherent and appropriate.",5.0,"The response directly relates to the previous question about what the individual is training for, providing a clear and relevant answer about competing in a national chess tournament. It also ties back to the earlier mention of chess, maintaining the flow of the conversation.",5.0,"The response directly relates to the previous question about training, providing a clear and relevant answer that adds depth to the conversation. It introduces a specific goal (competing in a national chess tournament) which can lead to further discussion about chess strategies, experiences, or the tournament itself. This makes the response engaging and interesting, as it invites the other person to ask more questions or share their own experiences related to chess.",5.0,"The response directly addresses the question about what the individual is training for, providing a clear and relevant answer about competing in a national chess tournament. It also ties back to the previous mention of chess, demonstrating an understanding of the conversation's context. The mention of focus aligns with the earlier discussion about music helping to focus during chess tournaments, reinforcing coherence in the dialogue.",5.0,"The response flows naturally from the previous turn, where the conversation shifted to discussing training. It maintains the context of chess and introduces the idea of a national tournament, which is relevant and adds depth to the conversation. The phrasing is clear and coherent, making it sound fluent and natural."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,2.0,"The response does not fit well with the context of the conversation, which is focused on teaching and robotics. The mention of being a huge sports fan and a fan of gaming introduces unrelated topics that do not connect to the previous discussion about building a robot. Therefore, the coherence is low.",2.0,"The response introduces a new topic about being a sports fan and a fan of gaming, which does not directly relate to the previous conversation about building a robot and electronics. The conversation was focused on technology and robotics, making the response less relevant to the ongoing discussion.",1.0,"The response does not build on the previous conversation about teaching and robotics, nor does it introduce an interesting fact that would engage the other person. Instead, it shifts the topic to sports and gaming without any connection to the previous context, making it less engaging.",1.0,"The response does not relate to the previous conversation about teaching and robotics. It introduces a new topic (sports and gaming) that is not connected to the context of the discussion, which was about electronics and building a robot. Therefore, it shows a lack of contextual understanding.",2.0,The response does not flow naturally from the previous conversation about building a robot and electronics. It introduces a new topic (sports and gaming) abruptly without a clear connection to the previous statements. This makes it sound disjointed and less fluent.
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,2.0,"The response does not directly relate to the interesting fact about the video game sequel to 'The Incredibles'. Instead, it makes an unrelated comment about the director being in the movie as a kid, which does not flow from the previous discussion about the cast and the director's choices. Therefore, it lacks coherence with the context of the conversation.",2.0,"The response does not directly relate to the fact about the video game sequel to 'The Incredibles'. Instead, it focuses on the director's involvement in the movie, which is a tangential topic. While it maintains a connection to the conversation about the movie, it does not address the interesting fact provided, making it less relevant.",2.0,"The response does not engage with the interesting fact about the video game sequel to 'The Incredibles'. Instead, it makes a vague statement about the director, which does not add depth or interest to the conversation. It fails to connect with the previous discussion about the movie and its cast, making it less engaging.",2.0,"The response does not directly relate to the interesting fact about the video game sequel to 'The Incredibles'. Instead, it makes an assumption about the director being in the movie as a kid, which is not relevant to the previous discussion about the cast and the director's choices. The response lacks coherence with the context of the conversation, which was focused on the movie and its cast rather than the director's past. Therefore, it demonstrates a low level of contextual understanding.",2.0,"The response does not flow naturally from the previous turn. The mention of the director being in the movie as a kid is not relevant to the fact about the video game sequel, and it introduces confusion rather than building on the conversation about the movie and its cast. The response lacks coherence and does not connect well with the previous discussion about the cast and the director's involvement. Therefore, it scores low on fluency."
