context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Coherence_score,Coherence_reasoning,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Contextual Understanding_score,Contextual Understanding_reasoning,Fluency_score,Fluency_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,5.0,"The response is highly coherent with the context of the conversation. The topic of the conversation is about HBO shows, and the response asks for recommendations on what to watch on HBO. This fits well with the context, tone, and flow of the conversation.",5.0,"The response is relevant to the topic being discussed, as it continues the conversation about HBO and asks for recommendations on what to watch. It does not deviate from the topic and contributes to the conversation by seeking further input from the other individual.",4.0,"The response is engaging as it continues the conversation by asking for recommendations on HBO shows, which is relevant to the context of the conversation. It also shows interest in the other person's preferences, which can make the conversation more engaging.",4.0,"The response demonstrates a good understanding of the context and conversation history. The question 'what else do you watch on hbo?' is relevant to the previous statement about HBO, and the request for recommendations shows awareness of the previous statements in the conversation.",5.0,"The response is fluent and natural, and it flows well from the previous turn in the conversation. The question about other shows watched on HBO is a logical continuation of the discussion about HBO programming."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,5.0,"The response is highly coherent with the context of the conversation. The topic of the conversation revolves around interesting facts, and the response provides an interesting fact about hiccups, which is relevant to the previous statement about hiccups. The tone and flow of the response also fit well with the conversation.",5.0,"The response is highly relevant to the topic being discussed. The conversation revolves around interesting facts, and the response provides a fact about hiccups, which is directly related to the previous question about why we hiccup. The fact is also related to the topic of evolution, which was previously mentioned in the conversation.",4.0,"The response is quite engaging and interesting as it provides a factual explanation for the cause of hiccups, which is not common knowledge. It also ties in well with the previous statement about hiccups, making the conversation flow smoothly.",5.0,"The response is highly relevant to the context and demonstrates a clear understanding of the conversation history. The user asked about hiccups, and the response provides an interesting fact about the origin of hiccups, which aligns with the topic of evolution and animals discussed earlier in the conversation.",5.0,The response is grammatically correct and flows naturally from the previous turn in the conversation. It also provides the requested information in a clear and concise manner.
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,5.0,"The response 'i'm 13 with an older brother' fits well with the context of the conversation, as it directly relates to the persona information provided. The age and the fact that the speaker has an older brother are both relevant to the conversation and are presented in a coherent manner. The tone and flow of the response are also appropriate for the context.",5.0,"The response is highly relevant to the conversation as it directly addresses the age of the speaker, which is one of the persona facts provided. The response also mentions having an older brother, which is another relevant persona fact.",3.0,"The response is somewhat engaging as it provides a personal detail about the speaker's age and the fact that they have an older brother. However, it does not offer any particularly interesting or unique information that would significantly increase engagement. Therefore, it scores a 3 on the engagement scale.",4.0,"The response 'i'm 13 with an older brother' directly relates to the given context and the provided facts. It demonstrates an understanding of the conversation history by acknowledging the age and family relationship mentioned. However, it does not address the other aspects of the persona, such as the dislike for math class, riding the bus to school, or being on the soccer team. Therefore, while the response is relevant and coherent, it only partially addresses the conversation history and context.",5.0,"The response is fluent and natural, and it fits well with the context of the conversation. The speaker is sharing a fact about themselves, which is relevant to the conversation and flows well from the previous turn."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1.0,"The given response does not fit with the context of the conversation. The conversation is about various topics such as phones, water donation campaigns, and clothing. The response about looking good based on the amount of clothes worn does not connect to any of these topics. Additionally, the interesting fact provided about Billy Mays' funeral attire is not incorporated into the response. Therefore, the response is not coherent with the conversation context.",1.0,"The provided response is not relevant to the topic being discussed in the conversation. The conversation revolves around various topics such as the telephone, its impact on life, its power, and its potential misuse. The response, however, discusses clothing and social perception, which is not related to the conversation's topic. Therefore, the relevance score is low.",1.0,"The response does not seem to be relevant to the conversation or the provided fact. It does not engage the user in a meaningful way or provide any interesting information related to the topic. Therefore, it scores low on the engagement metric.",1.0,"The given response does not demonstrate any understanding of the conversation context. The conversation revolves around various topics such as the telephone, its impact on life, its power, and its potential misuse. The interesting fact provided is about Billy Mays' funeral, but the response does not relate to this fact or the conversation context at all. It seems to introduce a new topic about clothing, which is not relevant to the conversation.",1.0,"The given response does not seem to be relevant to the context of the conversation or the provided fact. It also does not flow naturally from the previous turn in the conversation. Therefore, it scores low on the fluency metric."
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,5.0,"The given response is highly coherent with the conversation context. The speaker is expressing her feelings of loneliness and lack of social interaction due to her job as a housekeeper, which aligns with the topic of conversation about her children not visiting and her husband liking her more when she was younger and prettier. The tone and flow of the response also fit well with the conversation.",5.0,"The response is highly relevant to the topic being discussed. The speaker is expressing their feelings of loneliness and lack of social interaction, which is further emphasized by their job as a housekeeper. This aligns with the given persona and the conversation context.",2.0,"The response is somewhat engaging as it provides a glimpse into the speaker's life and job, but it does not introduce a new topic or interesting fact. It also does not encourage further conversation or show empathy towards the other speaker's situation.",4.0,"The response demonstrates a good understanding of the conversation history and context. The speaker acknowledges their lack of social interaction due to their housekeeping job, which aligns with the persona's background and the previous statement about not talking to anyone about their feelings. The response is relevant, coherent, and aware of the previous statements in the conversation.",5.0,"The response is grammatically correct, coherent, and relevant to the context. It flows naturally from the previous turn in the conversation, providing a logical continuation. The use of language is appropriate for the persona and the situation."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,5.0,The response is coherent with the context of the conversation as it continues the discussion about football. The question about the color of the University of Iowa's visitor locker room is relevant to the topic and maintains the flow of the conversation. The tone of the response is also consistent with the friendly and casual tone of the conversation.,4.0,"The response is relevant to the topic of football, as it asks a question about a football-related fact. However, the question is quite specific and may not be directly related to the previous conversation about liking football. Nonetheless, it does contribute to the conversation by introducing a new aspect of football.",4.0,The response is engaging as it prompts curiosity and encourages further conversation about an interesting fact related to football. The question about the color of the University of Iowa's visitor locker room is intriguing and invites the other person to respond.,4.0,"The response demonstrates a good understanding of the context and conversation history. The question 'do you like football?' indicates that the conversation is about football. The response 'i love it' shows that the speaker also likes football, and the follow-up question about the color of the University of Iowa's visitor locker room is relevant to the topic of football. However, the response does not directly address the fact provided, which could have been incorporated to provide a more contextually rich response.",5.0,"The response is fluent and natural, and it flows well from the previous turn in the conversation. It also introduces the topic of the University of Iowa's football team, which is relevant to the context of discussing football."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1.0,"The given response does not fit well with the context of the conversation. The conversation is about Studio Ghibli films, events in DC, and animated movies, while the response mentions a show and Ella Fitzgerald, which are not related to the conversation topic. Therefore, the response is not coherent with the conversation context.",1.0,"The response does not seem to be relevant to the topic being discussed in the conversation. The conversation revolves around Studio Ghibli films, events in DC, and a birthday celebration at the National Postal Museum. The response, however, mentions a show and Ella Fitzgerald, which do not connect to the context.",1.0,"The response does not engage with the context of the conversation, which revolves around Studio Ghibli films and events in Washington D.C. Instead, it abruptly shifts the topic to a music show and Ella Fitzgerald, which seems out of place and not relevant to the conversation. Therefore, the response is not engaging or interesting in the context provided.",1.0,"The given response does not demonstrate understanding of the conversation history and context. The conversation revolves around Studio Ghibli films, events in DC, and a fact about summer concerts in DC. The response, however, mentions a show and Ella Fitzgerald, which are not related to the conversation context.",3.0,"The response is grammatically correct and uses appropriate punctuation. However, it does not flow naturally from the previous turn in the conversation as it introduces a new topic about Ella Fitzgerald without any context or relevance to the previous discussion about events in DC. Therefore, while the response is fluent, it lacks coherence with the conversation."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,5.0,"The response is highly coherent with the context of the conversation. The topic of the conversation revolves around the speaker's hobbies and interests, and the response fits well by providing more information about the speaker's involvement in chess tournaments. The tone and flow of the conversation are maintained, and the response is relevant to the context.",5.0,"The response is highly relevant to the topic being discussed. The conversation revolves around the speaker's hobbies and interests, specifically mentioning chess tournaments. The response not only continues the topic but also provides additional information about the speaker's involvement in a national chess tournament, which aligns with the fact that the speaker loves to play chess and uses music to focus for these tournaments.",4.0,"The response is quite engaging as it provides a continuation of the conversation by revealing the purpose of the chess tournaments the speaker is participating in. This information adds a layer of interest and intrigue, making the conversation more engaging.",4.0,"The response demonstrates a good understanding of the conversation history and context. The speaker mentions competing in a national chess tournament, which aligns with their previous statement about listening to music to focus for chess tournaments. The response also indirectly addresses the question about what they are training for. However, it does not directly address the question about having a weight problem or dieting, which was the most recent topic in the conversation.",5.0,"The response is fluent and natural, and it flows well from the previous turn in the conversation. It provides a relevant continuation to the topic of chess tournaments and the speaker's focus."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1.0,"The given response 'i am a huge sports fan . i am a huge fan of gaming .' does not fit well with the context of the conversation. The conversation is about the individuals introducing themselves and their professions, with one person mentioning building a robot and the other being a kindergarten teacher. The response about being a sports and gaming fan does not align with the topic and flow of the conversation.",1.0,"The response 'i am a huge sports fan . i am a huge fan of gaming .' is not relevant to the topic of the conversation, which is about the individuals' professions and hobbies. The response does not relate to the fact provided, which is about the persona's personal characteristics or achievements. Therefore, the relevance of the response is low.",1.0,"The response does not seem to be engaging or interesting in the given context. The conversation is about building a robot and the response suddenly shifts to being a sports and gaming fan, which does not align with the context or the given facts. Therefore, the response does not contribute to the conversation in a meaningful or engaging way.",1.0,"The given response does not demonstrate any understanding of the conversation history or context. The conversation is about the individuals introducing themselves and their professions, with one being a kindergarten teacher and the other building a robot. The response, however, mentions being a sports fan and a gaming fan, which is not relevant to the conversation and does not show any awareness of the previous statements.",2.0,"The response 'i am a huge sports fan . i am a huge fan of gaming .' does not flow naturally from the previous turn in the conversation. The topic of the conversation was about building a robot and the speaker's clumsiness with electronics, not sports or gaming. Therefore, the response seems out of context and does not maintain the fluency of the conversation."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,1.0,"The given response does not relate to the context of the conversation, which is about the Incredibles movies, the cast, and the director. The response also does not incorporate the provided interesting fact about the Incredibles video game sequel. Therefore, the response is not coherent with the conversation context.",1.0,"The response does not relate to the topic of the conversation, which is about the Incredibles movies and their cast. The response mentions the director but does not provide any relevant information about the movies or the cast. The fact provided about the video game sequel is also not incorporated into the response.",1.0,The response does not engage with the interesting fact provided and does not contribute to the conversation about the Incredibles movies or the director. It also does not provide any new or interesting information related to the topic.,2.0,"The given response does not demonstrate a clear understanding of the conversation context. The response mentions the director being in the movie as a kid, which is not relevant to the conversation. Additionally, the response does not acknowledge or build upon the interesting fact provided about the video game sequel to the first Incredibles movie. Therefore, the response does not show a strong contextual understanding.",4.0,"The response is grammatically correct and flows well from the previous turn in the conversation. However, it does not acknowledge or incorporate the interesting fact provided, which makes it seem slightly out of context. Nonetheless, it is a fluent and natural continuation of the conversation."
