context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Coherence_score,Coherence_reasoning,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Contextual Understanding_score,Contextual Understanding_reasoning,Fluency_score,Fluency_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,5,"The response is coherent as it naturally follows the previous statement about liking other things HBO airs, and it maintains the flow of the conversation by asking for recommendations.",5,"The response is highly relevant as it directly follows up on the previous statement about liking other things HBO airs, and it naturally continues the conversation by asking for recommendations.",4,"The response is engaging as it continues the conversation by asking for recommendations, which can lead to further discussion.",4,"The response is relevant and coherent, showing an understanding of the conversation history. It follows up on the mention of HBO and seeks recommendations, which is a natural progression in the conversation.",5,"The response is fluent and natural, continuing the conversation smoothly by asking for recommendations, which is a common and relevant follow-up in such a context."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,5,"The response directly addresses the question asked and provides the interesting fact about hiccups. It fits well within the context of the conversation, which has been sharing various interesting facts.",5,The response directly addresses the question about why we hiccup and provides a relevant fact that explains the evolutionary reason behind hiccups.,4,"The response introduces a unique and intriguing fact about the evolutionary origins of hiccups, which is likely to pique the interest of the other person and continue the conversation.",5,"The response directly addresses the question asked and provides the interesting fact about hiccups. It shows a clear understanding of the context and the flow of the conversation, maintaining relevance and coherence.",4,"The response is clear and directly addresses the question. It provides the fact in a straightforward manner, maintaining the flow of the conversation."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,4,The response is coherent as it fits well with the context of a casual greeting and introduces personal information in a natural way.,5,The response is directly relevant to the conversation as it introduces personal information in a way that could naturally follow a greeting. It also aligns with the provided persona facts.,2,The response is brief and does not add much to the conversation. It only provides personal information without engaging further or showing interest in the other person.,4,"The response is relevant and coherent, as it provides personal information that aligns with the greeting and the context of getting to know each other. It also introduces personal details that could lead to further conversation.",4,"The response is brief and directly relevant to the greeting, providing a natural continuation of the conversation. It introduces personal information in a fluent manner."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1,"The response does not fit the context of the conversation. The conversation is about the origins of polo shirts and the cultural revolution in China, and the response about wearing more clothes to look better is not relevant to these topics.",1,The response does not relate to the conversation about the cultural revolution in China or the fact about Billy Mays' funeral. It introduces a new and unrelated topic about clothing.,1,The response does not relate to the fact provided and does not continue the conversation in an engaging way.,1,The response does not demonstrate understanding of the conversation history or the context. It introduces a new topic that is not related to the previous discussion about the cultural revolution in China or the interesting fact about Billy Mays' funeral.,1,The response does not flow naturally from the previous turn and does not relate to the fact provided. It also does not fit the context of the conversation.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,4,"The response fits well with the context of the conversation. It aligns with the persona of the speaker, who is a housekeeper and mentions keeping to herself, which is consistent with the nature of her job.",4,"The response is relevant as it continues the conversation about the individual's personal life and job, which aligns with the context provided.",3,"The response is somewhat engaging as it provides a glimpse into the speaker's life and the nature of their job, but it does not introduce new or particularly interesting information.",4,"The response is relevant and coherent, continuing the conversation about the speaker's social interactions and job. It aligns with the persona of being a housekeeper and not having much social interaction.",4,"The response is fluent and natural, continuing the conversation in a way that is consistent with the previous turns. It also aligns well with the persona provided."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,4,"The response introduces a new and relevant fact about a specific university's locker room, which is on topic for a conversation about football. It maintains the flow and adds an interesting element to the conversation.",4,"The response directly relates to the topic of football and introduces an interesting fact about a specific university's locker room, which is relevant to the conversation.",4,"The response is engaging as it introduces an interesting and unusual fact about the University of Iowa's visitor locker room, which is likely to pique curiosity and continue the conversation.",4,"The response is relevant and coherent, as it directly follows up on the topic of football. It also introduces an interesting fact about the University of Iowa's locker room, which is related to the conversation and maintains the flow.",5,"The response is fluent and natural, seamlessly integrating the interesting fact into the conversation. It flows well from the previous turn and maintains the topic of football."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,2,"The response introduces a new topic (Ella Fitzgerald) without any clear connection to the previous conversation about Studio Ghibli, D.C. events, and the U.S. Postal Museum. This shift is abrupt and does not maintain the flow of the conversation.",2,"The response shifts the topic from the events in D.C. to a suggestion about a show and then to Ella Fitzgerald, which is not directly relevant to the previous discussion.",2,The response does not follow up on the interesting fact provided and instead shifts to a new topic without context. This makes the conversation less engaging.,2,"The response does not demonstrate a clear understanding of the conversation context. It abruptly shifts to a suggestion about Ella Fitzgerald without addressing the previous discussion about Studio Ghibli films, D.C. events, or the crab feast.",2,"The response does not flow naturally from the previous context, which was about events and activities in Washington D.C. The mention of Ella Fitzgerald seems disconnected and abrupt."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,5,The response fits well with the context of the conversation. It aligns with the persona of enjoying chess and provides a logical continuation by explaining the current focus on training for a national chess tournament.,5,"The response is highly relevant as it directly addresses the question about what the person is training for, and it aligns with the persona of enjoying chess.",4,"The response is engaging as it provides a specific and interesting detail about the individual's life, which is competing in a national chess tournament. It also ties back to the earlier mention of chess, maintaining the flow of the conversation.",5,"The response is highly relevant and coherent, as it directly answers the question about what the speaker is training for. It also aligns with the persona of enjoying chess, which was mentioned earlier in the conversation.",5,"The response is fluent and natural, continuing the conversation smoothly by addressing the previous question and providing relevant information."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,2,The response introduces a new topic (sports and gaming) that is not aligned with the previous context of building a robot and being clumsy with electronics. It does not flow naturally from the previous statements.,2,The response introduces a new topic (sports and gaming) that is not directly related to the previous conversation about building a robot and being clumsy with electronics.,1,"The response does not align with the context of the conversation, which is about building a robot. It also does not introduce an interesting fact or continue the engagement in a relevant manner.",1,The response does not demonstrate understanding of the conversation history. It introduces a new topic (sports) that is not relevant to the previous discussion about building a robot and being clumsy with electronics.,2,The response does not flow naturally from the previous turn in the conversation. It introduces a new topic (sports and gaming) without any connection to the current context of building a robot.
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,2,"The response does not fit well with the context of the conversation. The conversation was about the cast and the director's involvement in the movie, and the response introduces an unrelated fact about the director being in the movie as a kid, which is not relevant to the discussion.",2,The response does not address the fact provided and does not contribute to the conversation about the movie or its cast. It is somewhat related to the topic of the movie but does not add new information or continue the discussion in a meaningful way.,2,"The response does not engage with the interesting fact provided and instead offers a less relevant comment about the director. It fails to add new, engaging information to the conversation.",2,"The response does not demonstrate a clear understanding of the conversation history. It does not address the fact about the video game sequel and instead makes an unrelated comment about the director being in the movie as a kid, which was not mentioned in the conversation.",2,"The response does not flow naturally from the previous turn and does not incorporate the provided fact. It also introduces a new and unrelated piece of information about the director being in the movie as a kid, which is not relevant to the conversation."
