id,decoded,article,expert_consistency,expert_coherence,expert_fluency,expert_relevance,turker_consistency,turker_coherence,turker_fluency,turker_relevance,Relevance_score,Relevance_reasoning,Consistency_score,Consistency_reasoning,Fluency_score,Fluency_reasoning,Coherence_score,Coherence_reasoning,Overall Quality_score,Overall Quality_reasoning
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,anders lindegaard tied the swedish model last year in a romantic beach wedding . the manchester united goalkeeper has made just 19 league appearances . lindegaard and beqiri have been dating since 2012 .,"He may not be playing much at Manchester United but Anders Lindegaard certainly has a lot to smile about off the pitch as he enjoyed a spot of sunshine with stunning wife Misse Beqiri. Lindegaard tied the knot with the Swedish model last year in a romantic beach wedding in Mauritius. And the United goalkeeper, who has struggled for minutes throughout his career in Manchester, was keen to remind fans via his Instagram page of his marriage to stunning Beqiri. Manchester United goalkeeper Anders Lindegaard made the most of the English weather with Misse Beqiri . Lindegaard tied the knot with the stunning model last year and the couple have a son together . Danish international Lindegaard posted a link to Beqiri's Instagram account with the message: 'Day off with my sunshine @missebeqiri #cheshire #manchester' The Swedish beauty, who has Albanian roots, likes to flaunt her good looks on Instagram and regularly posts pictures while she's modelling at work. Lindegaard and Beqiri, who have a son together, have been dating since 2012. The 31-year-old moved to the Premier League in 2010 after signing from Norwegian side Aalesunds but has failed to make an impact. Beqiri, who is Swedish but has Albanian roots, regularly posts modelling photos on her Instagram page . With over 17,000 followers on Instagram, Beqiri made sure she showed her new haircut to her legion of fans . Lindegaard and Beqiri have been dating since 2012 and they married in a romantic Mauritius beach wedding . In five seasons, he has made just 19 league appearances and has been restricted to cup matches during his time in Manchester. With David de Gea in exceptional form under Louis van Gaal and Victor Valdes signing for the Red Devils in January, Lindegaard is now third-choice at Old Trafford. Lindergaard, who has been told he can leave United, was linked with a move to FC Midtjylland in January but the two clubs could not agree on a price. But despite his failure on the pitch, he's definitely winning away from it. The Denmark international (right) has struggled for regular football at Old Trafford since arriving in 2010 .",5.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,"The summary does capture some key points of the article, such as Anders Lindegaard's marriage to Misse Beqiri and his limited appearances for Manchester United. However, it fails to mention important details like his current status as a third-choice goalkeeper and his struggles to make an impact at the club. The summary also omits the fact that he was linked with a move to FC Midtjylland in January. Therefore, while the summary is not entirely irrelevant, it does not fully capture all the important aspects of the article.",4.0,"The summary is consistent with the facts in the original article. It accurately mentions that Anders Lindegaard married Swedish model Misse Beqiri last year, that they have been dating since 2012, and that Lindegaard has made just 19 league appearances for Manchester United. However, the summary does not include all the facts from the original article, such as the couple having a son together and Lindegaard's current status as third-choice goalkeeper at Old Trafford.",4.0,"The response is grammatically correct and the sentences are well-written. However, the response is quite short and lacks detail, which could be improved by providing more information from the context.",4.0,"The summary is coherent and provides the main points of the context, including the marriage of Anders Lindegaard to Misse Beqiri, his limited appearances for Manchester United, and the duration of their relationship. However, the summary could benefit from better sentence structure and transitions between ideas.",3.0,"The response is a valid summary of the context, but it is quite brief and lacks detail. It mentions the key points such as Anders Lindegaard's marriage to Misse Beqiri, his limited league appearances, and the duration of their relationship. However, it does not provide any context or additional information about the couple or Lindegaard's career at Manchester United."
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,"kevin rebbie , 56 , of limerick township , pennsylvania , was arrested after a 15-year-old girl found a hidden camera in her bathroom that police were able to trace back to the man . the investigation began when a 15-year-old girl found a hidden camera under the sink in a bathroom in her limerick township home in march , according to prosecutors . she told investigators that rebbie had been watching her for years when she was undressing and when he believed she was asleep .","Kevin Rebbie, 56, of Limerick Township, Pennsylvania, was arrested after a 15-year-old girl found a hidden camera in her bathroom that police were able to trace back to the man . A Pennsylvania man was arrested after allegedly sexually abusing a girl in her home over a four-year period and filming the girl, now 15, and others with a hidden camera in a bathroom. Kevin Rebbie, 56, of Limerick Township, faces several charges, including aggravated indecent assault, unlawful contact with a minor, sexual abuse of children and invasion of privacy, the Montgomery County District Attorney's Office said. The investigation began when a 15-year-old girl found a hidden camera under the sink in a bathroom in her Limerick Township home in March, according to prosecutors. She told investigators that Rebbie had been watching her for years when she was undressing and when he believed she was asleep. She added that beginning when she was nine years old up until she was 13, Rebbie would come into her bedroom while she was sleeping and molest her, according to Philly.com. Investigators found 41 videos from the hidden camera that included footage of the girl and others while they used the bathroom, 34 of which showed victims as they showered. Rebbie uploaded the videos, some that included close-up images of children's genitalia, to his computer to view later, prosecutors said. The videos were captured over a three- or four-year time period, according to prosecutors. Rebbie admitted to filming several victims, including other juveniles, but had purchased the camera specifically so he could record the now-15-year-old victim while she undressed and showered, according to the Pottstown Mercury. 'I think it's particularly horrific... and particularly for a young child when they think they're in the sanctity of their home, going through their teenage years, to be violated in the way that this young woman was violated it just goes beyond the boundaries of horrific. It's just unfathomable,'  Limerick Police Chief William Albany told the Mercury. The relationship between Rebbie and the girl's family is unknown. Rebbie's preliminary hearing is on May 1 and he is being held on a $500,000 bail.",5.0,3.0,5.0,4.0,4.2,4.2,4.0,5.0,4.0,"The response accurately captures the key points of the article, including the arrest of Kevin Rebbie, the discovery of a hidden camera in a bathroom by a 15-year-old girl, and the fact that Rebbie had been watching her for years. However, it does not mention the charges against Rebbie or the duration of the abuse, which are also important aspects of the story.",4.0,"The summary accurately reflects the key facts from the original article, including the arrest of Kevin Rebbie, the discovery of a hidden camera in a bathroom, and the alleged sexual abuse of a 15-year-old girl. However, the summary does not mention the charges against Rebbie or the duration of the alleged abuse. Overall, the summary is consistent with the original article, but lacks some details.",3.0,"The response is grammatically correct and the sentences are well-written. However, the response is incomplete and does not provide a full summary of the context. It only mentions the initial incident and does not include any details about the charges or the investigation.",2.0,"The response is a brief summary of the context, but it lacks coherence and proper sentence structure. It is a fragmented sentence that does not flow well and does not provide a complete summary of the context. The response could benefit from better organization and more detailed information.",3.0,"The response is a valid summary of the given context, but it is brief and lacks detail. It only mentions the arrest of Kevin Rebbie and the discovery of the hidden camera, but does not provide any information about the charges against him or the duration of the abuse. The response could benefit from a more comprehensive summary of the situation."
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,Jamaican sprinter Usain Bolt has confirmed he will be part of the Jamaican team at the IAAF/BTC World Relays in the Bahamas.,"Usain Bolt will compete at the IAAF/BTC World Relays in the Bahamas next month, the Jamaica Athletics Administrative Association has announced. The six-time Olympic gold medallist will compete at the relay championship on May 2 and 3 as part of the Jamaican team. 'I'm happy to be part of the Jamaican team for the IAAF / BTC World Relays in the Bahamas. I am fit, healthy and ready to run,' said Bolt. Usain Bolt has confirmed he will be part of Jamaica's team at the World Relays in the Bahamas . Bolt reacts as he wins 4x100m gold at the London Olympic Games in 2012 . 'I hear the meet was a lot of fun last year and there was a great atmosphere. Jamaica has a long and successful tradition in relays and when we put on the national colours we always do our best to make the country proud,' he added. JAAA General Secretary Garth Gayle commented, 'We were extremely pleased that Usain was available for selection and that the world's fastest man will be running for Jamaica. We can expect some sprint magic on the track in the Bahamas on 2nd and 3rd May.' The full Jamaican team list for the competition will be announced shortly. Bolt insists he always does 'his best to make his country proud' while wearing Jamaica colours .",5.0,5.0,5.0,4.0,5.0,4.0,3.8,4.0,4.0,"The summary accurately captures the key point of the article, which is that Usain Bolt will be competing at the IAAF/BTC World Relays in the Bahamas as part of the Jamaican team. However, it does not include any additional details, such as the dates of the competition or Bolt's quote about his excitement to participate.",5.0,"The response accurately reflects the information in the context, stating that Usain Bolt will be part of the Jamaican team at the IAAF/BTC World Relays in the Bahamas. The response does not introduce any new or contradictory information.",5.0,"The response is a well-written and grammatically correct sentence that accurately summarizes the context. It is concise and to the point, providing the necessary information about Usain Bolt's participation in the IAAF/BTC World Relays.",5.0,"The response is a concise and accurate summary of the context, clearly stating that Usain Bolt will be part of the Jamaican team at the IAAF/BTC World Relays in the Bahamas. The summary is coherent and flows naturally.",4.0,"The response is a factual summary of the given context, accurately stating that Usain Bolt will be part of the Jamaican team at the IAAF/BTC World Relays in the Bahamas. However, it lacks additional details such as the dates of the competition and Bolt's quote expressing his excitement to participate. Nonetheless, the response is clear, concise, and relevant to the context."
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,"the toddler's mother was holding him and another child when he slipped and fell between 10 to 12ft and into the pit on saturday around 3pm . the child was rescued by his parents before firefighters and paramedics arrived on the scene . he suffered from minor bumps and bruises and was listed in stable condition at the hospital . the cheetahs did not approach the boy or his parents while in the pit, according to zoo officials .","A two-year-old boy is recovering after falling into a cheetah exhibit at the Cleveland Metroparks Zoo after his parents dangled him over the edge, officials said. The toddler's mother was holding him and another child when he slipped and fell between 10 to 12ft and into the pit on Saturday around 3pm. The child was rescued by his parents before firefighters and paramedics arrived on the scene. Scroll down for video . A mother was holding the two-year-old boy and another child when the toddler slipped and fell into the cheetah exhibit at the Cleveland Metroparks Zoo (file photo of cheetahs at the Cleveland zoo) The boy was rescued by his parents from the pit (pictured) before firefighters and paramedics arrived on the scene. He suffered from minor bumps and bruises and was listed in stable condition at the hospital . He is listed in stable condition after being taken to MetroHealth Medical Center and suffered from minor bruises and bumps. The boy's leg was injured in the fall, but he was not attacked by the animals, Dr. Christopher Kuhar, the zoo's executive director told Fox 8. Michael Lurie and his family were at the Cheetah exhibit when they heard the child scream. 'You saw how far the drop was and you just couldn't believe the kid didn't hurt himself from falling down on the ground,' Lurie told WKYC. 'I was just shocked,' he said. 'I didn't understand how the parents let the kid go over the thing.' The cheetahs did not approach the boy or his parents while in the pit, according to zoo officials. Zoo visitor Terra Lurie believes the boy was not approached by the fast feline because they were frightened. 'I think they were just curious as to what was going on and why somebody was in the pen with them,' she said. 'It's not every day that somebody is just in the pen with them.' 'And everyone else is screaming and they probably got scared.' Kuhar said the zoo had received 'a number of eyewitness accounts' that indicate the 'strong likelihood that the child was dangled over the railing,' he told NewsNet5. Cleveland Metroparks Zoo has plans to press child endangerment charges against the family on Monday. The exhibit was closed following the child's fall. Zoo visitor Michael Lurie was at the cheetah exhibit when he heard the child scream. He said he was 'shocked' and 'didn't understand how the parents let the kid' go over the railing and into the pit . Cleveland Metroparks Zoo plans to press child endangering charges against the child's mother (above file photo of visitors at the Cleveland zoo)",5.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,"The summary accurately captures the key points of the article, including the toddler falling into the cheetah exhibit, being rescued by his parents, and the fact that the cheetahs did not approach him. However, it does not mention the parents dangling the child over the edge, which is a significant detail. Overall, the summary is mostly relevant but misses one important aspect.",5.0,"The response accurately summarizes the key facts from the context, including the toddler falling into the cheetah exhibit, being rescued by his parents, and not being approached by the cheetahs. The response does not introduce any new or incorrect information.",3.0,"The response is grammatically correct and the sentences are well-written. However, the response lacks punctuation, which makes it difficult to read and understand the sequence of events.",4.0,"The summary is coherent and provides the main details of the incident, including the toddler falling into the cheetah exhibit, being rescued by his parents, and suffering minor injuries. However, it does not mention the parents dangling the child over the edge, which is a crucial detail in the context.",3.0,"The response is a valid summary of the news article, but it lacks detail and context. It mentions the main event of the toddler falling into the cheetah exhibit and being rescued by his parents, but it does not provide any information about the circumstances leading to the fall or the aftermath of the incident. The response also does not mention the zoo's plans to press child endangerment charges against the family."
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,"vanessa santillan's body was found in a £400,000 flat in fulham, london . the 33-year-old mexican national died as a result of injuries to the head and neck . a 23-year-old man was arrested in connection with her death but has been bailed . he has been told to return to a london police station for further questioning .","A man has been arrested in connection with the death of a transgender escort  who was found strangled and beaten last month. Vanessa Santillan's body was found in a £400,000 flat in Fulham, south west London, at the end of March. The 33-year-old Mexican national, who worked as a transgender escort, died as a result of injuries to the head and neck. Vanessa Santillan, 33, was killed at the end of March. Her body was found in a flat in Fulham having been strangled and beaten to death . A 23-year-old man was arrested in connection with her death but has been bailed. He has been told to return to a London police station for further questioning at a later date. Meanwhile Scotland Yard is appealing to anyone who may have had contact with Miss Santillan in the hours before her death. According to her website Miss Santillan worked in London, Paris and Miami as an escort. Police did not confirm whether her profession was central to the investigation but insisted they would do 'everything' to solve the case. London Ambulance Service was called to a flat in Romily Court, Fulham, on March 28 at around 9.30pm. Miss Santillan was pronounced dead at the scene having suffered injuries to her head and neck. The woman had been working as a transgender escort, her website revealed. Miss Santillan is understood to have moved to London from Mexico . The woman, who described herself as visiting London from Miami, was pronounced dead at the scene last month . Miss Santillan spoke of her love for London and Paris online in the weeks before her death. Police are urging anyone who had contact with her in the hours before her death to come forward . Detective Chief Inspector Rebecca Reeves, who leads the investigation, said: 'We want to speak to anyone who saw Vanessa on Friday or Saturday. 'We need to know why this has happened and we want help from anyone who knew her while she was in London.' In the weeks before her death Miss Santillan took to social media to talk of her love for London. On her website she described herself as visiting from Miami in search of 'upscale' gentlemen. Miss Santillan's body was found when London Ambulance Service was called to an address in Fulham, south west London . Sorry we are not currently accepting comments on this article.",5.0,5.0,5.0,5.0,3.6,4.0,4.0,4.0,4.0,"The summary captures the key points of the article, including the location of the incident, the cause of death, the arrest of a suspect, and the ongoing investigation. However, it does not mention that Vanessa Santillan was a transgender escort, which is a significant detail in the context of the case.",4.0,"The summary accurately reflects the key facts from the original article, including the location of the incident, the cause of death, the arrest of a suspect, and the ongoing investigation. However, it does not mention that Vanessa Santillan was a transgender escort, which is a significant detail in the context of the case.",3.0,"The response is concise and grammatically correct, but it lacks proper punctuation and capitalization. The sentences are not well-written, as they are fragmented and do not flow smoothly.",4.0,"The summary is concise and coherent, providing the key details of the incident, including the location, cause of death, and the arrest of a suspect. However, it lacks some context and details about the victim's profession and the police investigation.",3.0,"The response is a valid summary of the news article, but it is brief and lacks detail. It mentions the key points such as the location of the incident, the cause of death, and the arrest of a suspect. However, it does not provide any context or additional information about the victim or the investigation. Therefore, it is rated as 'neutral' in terms of overall quality."
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,Gnabry has not featured for the first team since March last year after suffering serious knee injury,"Serge Gnabry says he is feeling 'better and better' all the time as the Arsenal teenager prepares to return after more than a year out. The 19-year-old midfielder impressed for the Gunners last season, but his progress has been stunted by a serious knee injury. Gnabry, as a result, has not featured since the Champions League last-16 second leg against Bayern Munich in March 2014, although he is at last closing in on a return. Serge Gnabry played 90 minutes for Arsenal Under 21s against Reading on Monday . The 19-year-old has not featured for the first team since March last year after suffering serious knee injury . Gnabry impressed for the Gunners last season before his progress was curtailed due to injury . The Germany Under-21 international played for Arsenal's development squad as they lost 1-0 to Reading on Monday and is now over his injury worries. 'I am feeling good, I'm feeling better and better,' Gnabry told Arsenal Media. 'It is my second 90 minutes [in the space of a week], I am playing and over my injury so it is all good and I am looking forward to the next game.'",5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,"The response is relevant to the context as it mentions the key point of the article, which is Serge Gnabry's long absence from the first team due to a serious knee injury. However, it does not provide any additional information about his current status or his recent performance in the Under-21 game.",5.0,"The response accurately reflects the information provided in the context. It mentions that Gnabry has not featured for the first team since March last year due to a serious knee injury, which is consistent with the facts presented in the article.",5.0,"The sentence is grammatically correct and well-written, providing clear and concise information about Gnabry's absence from the first team due to a serious knee injury.",3.0,"The response is a single sentence that is grammatically correct and provides a factual statement about the context. However, it does not provide a summary of the entire context, focusing only on one aspect of the information provided.",2.0,"The response is a valid summary of the news article, but it is very brief and lacks detail. It only mentions the fact that Gnabry has not played since March last year due to a serious knee injury, but does not provide any context or additional information about his return or progress."
dm-test-26e4e19d945cedcb489f28808c730658139c9415,orlando city are the latest club to have expressed interest in manchester united misfit javier hernandez . the mexico international would be a huge commercial draw for the florida-based franchise who are coached by former everton and manchester city striker adrian heath . orlando have a big latin-american fanbase and made enquiries last week about the prospect of a deal .,"MLS side Orlando City are the latest club to have expressed interest in Manchester United misfit Javier Hernandez. The Mexico international would be a huge commercial draw for the Florida-based franchise who are coached by former Everton and Manchester City striker Adrian Heath. Orlando have a huge Latin-American fanbase and made enquiries last week about the prospect of a deal. Javier Hernandez is linked with a move to Orlando City after enduring a tough time on loan at Real Madrid . Orlando have a big Latin-American fanbase and Kaka is the captain of the MLS side . Hernandez would be a popular arrival with Orlando supporters but eight European sides are also interested . Hernandez has cut a frustrated figure during his loan spell at Real Madrid this season but still has plenty of interest from other Premier League and European sides. Southampton, Stoke, West Ham and Everton are all interested with United willing to sell for around £8million. Wolfsburg, AC Milan, Lazio and Inter Milan are also keen on the 26-year-old who has one year left on contract. United, meanwhile, have made a revised contract offer to teenage prospect Andreas Pereira. Manchester United have made a revised contract offer to 19-year-old Andreas Pereira (right) Periera (left) has a host of clubs across Europe interested in signing him if he does not agree terms at United . Paris St Germain, Juventus, PSV Eindhoven and Feyenoord have all made contact with the midfielder's father Marcos after the 19-year-old rejected United's opening offer. Pereira was on the bench against Aston Villa on Saturday.",5.0,4.0,5.0,4.0,4.0,3.2,4.0,3.8,4.0,"The summary accurately captures the key points of the article, including Orlando City's interest in Javier Hernandez, the player's potential as a commercial draw for the club, and the fact that Orlando has a large Latin-American fanbase. However, it does not mention the other clubs interested in Hernandez or the revised contract offer to Andreas Pereira.",5.0,"The summary accurately reflects the main points of the original article, including Orlando City's interest in Javier Hernandez, the player's potential as a commercial draw for the club, and the fact that Orlando has a large Latin-American fanbase. The summary does not introduce any new information or make any factual errors.",4.0,"The response is grammatically correct and the sentences are well-written. However, the response is a bit concise and could benefit from more detail.",4.0,"The summary is coherent and provides the main points of the context, including the interest of Orlando City in Javier Hernandez, the commercial draw for the club, and the Latin-American fanbase. However, it does not mention the other clubs interested in Hernandez or the revised contract offer to Andreas Pereira.",3.0,"The response is a valid summary of the news article, but it is quite brief and lacks detail. It mentions the main points, such as Orlando City's interest in Javier Hernandez and the player's potential as a commercial draw for the club. However, it does not provide any information about the other clubs interested in Hernandez or the revised contract offer to Andreas Pereira."
dm-test-4fb64a2298e18626db776fccf834be87388827e0,sir bradley wiggins will bid for cycling 's hour record on june 7 at london 's olympic velodrome . the four-time olympic champion and 2012 tour de france winner will attempt to add to his accomplishments by riding the furthest distance in 60 minutes at the lee valley velopark . wiggins finished his team sky career in the paris-roubaix 253.5km one-day race on sunday .,"Sir Bradley Wiggins will bid for cycling's hour record on June 7 at London's Olympic Velodrome. The four-time Olympic champion and 2012 Tour de France winner, who is 35 on April 28, will attempt to add to his accomplishments by riding the furthest distance in 60 minutes at the Lee Valley VeloPark. 'The Hour Record is a holy grail for cyclists,' Wiggins said. Four-time Olympic champion Bradley Wiggins will bid to break cycling's hour record in June . Wiggins finished his Team Sky career in the Paris-Roubaix 253.5km one-day race on Sunday . Australian rider Rohan Dennis poses after breaking the world hour record on February 8 in Grenchen . 'It's been fought over tooth and nail by some of the greatest names in our sport for over a hundred years and it's time for me to have a crack at it. 'I like the idea of challenging myself and want to motivate people to do the same - so why not get your bike out of the shed and see how far you can go in an hour?' Wiggins, whose track pedigree includes three Olympic gold medals, is expected to set a mark which will last for some time. Wiggins will hope for a capacity 6,000 crowd to spur on his attempt, with tickets going on sale from April 19, while the event will be broadcast live on Sky Sports. In June, Wiggins will hope to race in front of a sell-out crowd at London's Olympic Velodrome . Wiggins (left) alongside his Team Sky colleague Luke Rowe after the pair raced the Paris-Roubaix . Wiggins will look to beat the record of Dennis (pictured), who managed to cycle 52.491km in an hour . The Briton finished his Team Sky career at Paris-Roubaix last Sunday and will ride in next month's inaugural Tour de Yorkshire for his eponymous team before preparing for the Hour as part of his return to the track. The world time-trial champion is targeting a British record eighth Olympic medal - he has four gold, one silver and two bronze - at the 2016 Rio Olympics in the four-man, four-kilometre team pursuit. The current Hour record is 52.491km, set by Australian Rohan Dennis in February after the UCI, cycling's world governing body, reformed regulations, reigniting interest in the event. German Jens Voigt was the first to make an attempt last September, recording 51.115km, a mark which stood for six weeks before Austria's Matthias Brandle rode 51.852km, while Jack Bobridge was the first to fall short in his attempt. Dennis' mark will come under threat from Briton Alex Dowsett, who will make his attempt on May 2 in Manchester having had to postpone it previously after suffering a broken collarbone. Tickets to watch Sir Bradley Wiggins attempt to break the UCI Hour Record at the Lee Valley VeloPark on June 7 will go on sale to the general public through Sky Tickets from Friday, April 19 (10am) price £49, £39 and £29, on line sale only through the Sky Tickets website.",5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,"The response is relevant as it mentions the main subject of the article, Sir Bradley Wiggins, and his attempt to break the cycling hour record on June 7 at London's Olympic Velodrome. However, it does not include other important details such as the current record holder and the significance of the event in cycling history. Therefore, it captures some but not all of the important aspects of the article.",4.0,"The summary accurately reflects the main points of the article, including the date and location of Sir Bradley Wiggins' attempt to break the cycling hour record, his recent participation in the Paris-Roubaix race, and his past achievements as a four-time Olympic champion and 2012 Tour de France winner. However, it does not include the current record holder or the other cyclists who have attempted to break the record recently.",3.0,"The response is grammatically correct and the sentences are well-written. However, the response is incomplete and does not provide a comprehensive summary of the given context.",2.0,"The response is a brief summary of the context, but it lacks coherence as it is just a collection of disjointed facts without proper transitions or a clear narrative. The response could benefit from better sentence structure and flow.",2.0,"The response is a valid summary of the context, but it is incomplete and lacks important details. It only mentions the date and location of the event, the participant, and the event he finished before this attempt. However, it does not include the significance of the event, the current record holder, or the other competitors. Therefore, it is a poor quality summary."
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,"new zealander tim weston was on holiday in puerto vallarta with his wife when the attack happened and described how ` the crocodile kept the dog in its mouth for ages , not moving at all ' the clip shows a large croc calmly moving through the marina in the tourist hotspot of puerto vallarta , in mexico , with a black dog wearing a red collar . the dog has been viewed more than half a million times online . the dog belonged to the bike shop 's owner .","A video of a menacing crocodile swimming through a public marina with a dead pet dog locked in between its jaws has been viewed more than half a million times online. The clip shows a large croc calmly moving through the marina in the tourist hotspot of Puerto Vallarta, in Mexico, with a black dog wearing a red collar lifeless in its mouth. New Zealander Tim Weston was on holiday in Puerto Vallarta with his wife when the attack happened and described how 'the crocodile kept the dog in its mouth for ages, not moving at all'. Mr Weston told Daily Mail Australia the dog belonged to the local bike shop's owner. Scroll down for video . The large croc proudly held on to its catch for hours as it lurked around the Puerto Vallarta marina, in Mexico . 'There's a sanctuary for these crocodiles up the river (200m away) which runs out to the sea and the marina,' Mr Weston explained. 'The dog went to the water's edge to see the crocodile (being curious I guess) but things didn't go according to plan obviously. 'It was certainly a shock to the system. Guess that's nature though,' he said. In the video the beast glides through the water, with rocks on one side and a footpath on the other, as crowds gasp in amazement. New Zealander Tim Weston was on holiday in Puerto Vallarta with his wife when he saw the alarming sight . Tourist Tim Weston took a photo of the crocodile with the dog between its jaws . A video of the crocodile swimming through the marina with the bike shop owner's dog has been viewed more than 500,000 times . Mr Weston said: 'A couple of hours later we walked back past and there was still a crowd... But we didn't want to look at it again as we had just eaten. Yesterday morning there was no sign of either.' Social media users have reacted in horror to the video that was posted on the Bogged Facebook page. One woman  called the video 'horrible' and another said 'I hate crocodiles now'. But crocodiles are a common site in Puerto Vallarta as the Mexican beach resort is built amongst the mangroves that the creatures have called home for centuries. As well as living in the nearby sanctuary, crocs are regularly spotted on the resort's golf course. In Mexico the 'American Crocodiles' can reach lengths of 6 meters and as a result of urbanisation are living closer to humans than ever before. One social media user called the video 'horrible' and another said 'I hate crocodiles now'",5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,"The response does capture the key points of the article, mentioning the New Zealander Tim Weston who witnessed the crocodile attack, the location of the incident in Puerto Vallarta, Mexico, and the fact that the dog belonged to the local bike shop owner. However, it does not mention the half a million views the video received online, which is also a significant detail. Overall, the response is mostly relevant but misses one important detail.",4.0,"The response is generally consistent with the facts in the original article. It mentions the New Zealander Tim Weston being on holiday in Puerto Vallarta with his wife, the crocodile keeping the dog in its mouth for a long time, the large crocodile moving through the marina, and the dog belonging to the bike shop's owner. However, it does not mention the location of the sanctuary or the fact that the dog was dead. Overall, the response is mostly accurate but lacks some details.",2.0,"The response contains grammatical errors and lacks proper punctuation, making it difficult to read and understand. The sentence structure is also awkward and disjointed.",2.0,"The response is a summary of the context, but it lacks coherence and proper sentence structure. The sentences are fragmented and do not flow smoothly, making it difficult to understand the summary as a whole.",2.0,"The response is a valid summary of the news article, but it is poorly written and lacks proper punctuation and capitalization. It also fails to provide a complete summary of the event, focusing only on the crocodile attack and not mentioning the location or the fact that the video has been widely viewed online."
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,"the deep reddish color caught seattle native tim durkan 's eye . the stunning sunsets were the result of raging wildfires in parts of siberia . the fires were started in southeastern siberia , by farmers burning grass in their fields .","(CNN)A fiery sunset greeted people in Washington Sunday. The deep reddish color caught Seattle native Tim Durkan's eye. He photographed a handful of aerial shots of the sunset warming the city's skyline and shared them on CNN iReport. The stunning sunsets were the result of raging wildfires in parts of Siberia. ""The dramatic sunsets began showing up over the weekend and had Seattle locals wondering where the amber-colored haze was originating from,"" Durken said. The fires were started in southeastern Siberia, by farmers burning grass in their fields. But on April 14, it is believed that the flames quickly grew out of control because of strong winds and spread throughout the region, according to CNN affiliate KOMO-TV. As a result, the fires have destroyed dozens of villages in the region. Rescue crews were able to put out the flames. However, the lingering smoke from the widespread fires were picked up by atmospheric winds. The winds carried the smoke from Siberia across the Pacific Ocean and brought it to the Pacific Northwest. Parts of Oregon, Washington and British Columbia are seeing the results of the smoke, wind and solar light combination. The reason people are seeing an intense red sunset is a result of smoke particles filtering out the shorter wavelength colors from the sunlight like greens, blues, yellows and purples, KOMO-TV said. That means colors like red and orange are able to penetrate the air unfiltered. The colors are especially intense during sunrises and sunsets because there is more atmosphere for the light to travel through to get to a person's eye. As the smoke starts to dissipate, air quality will get better and these fiery sunsets will lose their reddish hue.",5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,"The summary captures the key points of the article, including the cause of the fiery sunset and the location of the wildfires in Siberia. However, it does not mention the impact of the wildfires on the villages in the region or the atmospheric winds carrying the smoke to the Pacific Northwest. Overall, the summary is relevant but could be more comprehensive.",4.0,"The summary accurately reflects the facts presented in the original article. It mentions the deep reddish color of the sunset, the cause being the wildfires in Siberia, and the origin of the fires being farmers burning grass in their fields. However, it does not include the information about the spread of the fires, the destruction caused, and the atmospheric conditions that led to the intense red sunset. Therefore, while the summary is consistent with the original article, it lacks some details.",3.0,"The response is grammatically correct and the sentences are well-written. However, the response is incomplete and does not provide a full summary of the news article. The response only mentions the cause of the sunset and does not provide any information about the impact of the wildfires in Siberia or the atmospheric winds carrying the smoke to the Pacific Northwest.",2.0,"The response is a brief summary of the context, but it lacks coherence as it is just a collection of disconnected sentences. The sentences do not flow smoothly, and there is no clear connection between them. The response could benefit from better transitions and a more coherent structure.",2.0,"The response is a valid summary of the news article, but it is quite brief and lacks detail. It mentions the cause of the reddish sunset and the origin of the wildfires, but does not provide any information about the impact of the fires or the atmospheric conditions that led to the intense sunset. Overall, the response is somewhat poor in quality."
