context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Coherence_score,Coherence_reasoning,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Contextual Understanding_score,Contextual Understanding_reasoning,Fluency_score,Fluency_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,5.0,"The response is highly coherent as it directly relates to the previous conversation about HBO and asks for recommendations, showing interest and flow in the conversation.",5.0,"The response directly relates to the conversation about TV preferences and HBO content, making it highly relevant.",4.0,"The response is engaging as it directly follows up on the mention of HBO, shows curiosity, and opens up a new topic for discussion. However, it lacks a surprising element or an interesting fact to make it perfectly engaging.",5.0,"The response directly relates to the conversation about HBO and the participants' stated interest in the network's content beyond Game of Thrones, showing a clear understanding of the context and the topic of discussion.",-1,Error
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,5.0,"The response directly answers the question about hiccups and provides a relevant fact from early evolution, maintaining the conversation's flow and topic.",5.0,"The response directly addresses the question about why we hiccup and provides a relevant fact from early evolution, making it highly relevant to the topic being discussed.",5.0,The response is engaging because it directly addresses the user's question and provides a fascinating and little-known fact about hiccups. The fact that hiccups are a holdover from early evolution when land animals had both gills and lungs is interesting and provides a unique perspective on the topic.,5.0,"The response directly addresses the user's question about why we hiccup and provides a relevant fact from early evolution, showing a clear understanding of the conversation context and topic of discussion.",3.0,"The response is a direct answer to the question and provides the correct fact, but it starts with 'i do n't know' which is contradictory to the rest of the sentence. The sentence is also a bit simplistic and lacks cohesion with the rest of the conversation."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,5.0,"The response is coherent because it directly relates to the persona's characteristics, specifically their age and family relationship.",4.0,"The response mentions the age and having an older brother, which are relevant to the persona's characteristics and can be a starting point for a conversation.",2.0,"The response is somewhat engaging as it mentions the persona's age and family relationship, but it's a fairly simple and straightforward statement without much depth or interest.",2.0,"The response demonstrates some understanding of the context by mentioning the age and having an older brother, but it doesn't fully engage with the initial greeting or show awareness of other personal facts provided.",4.0,"The response is a simple statement that introduces the speaker's age and family relationship. It is a straightforward and clear sentence, but it may not be the most engaging or natural way to respond to a greeting. The fluency is good, but the response could be more conversational."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1.0,"The response does not fit with the conversation context, as it suddenly shifts to a statement about the number of clothes worn, without any connection to the previous discussion about phones, polo shirts, or the cultural revolution in China. The tone and flow are also disrupted, making the response incoherent.",1.0,"The response does not relate to the topic of Billy Mays' funeral or the cultural revolution in China, and instead discusses the general concept of clothing and appearance.",1.0,"The response does not relate to the interesting fact provided and seems to introduce a new, unrelated idea. The conversation was discussing various topics including phones, clothing, and historical events, but the response about the number of clothes worn does not engage with any of these topics or the fact about Billy Mays' funeral.",1.0,"The response does not demonstrate understanding of the conversation history and context. The conversation was about the cultural revolution in China, and the response suddenly shifts to a unrelated topic of wearing clothes. The interesting fact about Billy Mays' funeral is also not incorporated in a meaningful way.",1.0,"The response does not flow naturally from the previous turn in the conversation, which was about the cultural revolution in China. The response seems unrelated to the topic and the fact provided about Billy Mays' funeral is not mentioned or connected to the response."
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,5.0,"The response fits well with the conversation context, as it relates to the speaker's personal life and feelings, and the tone is consistent with the previous messages. The mention of the housekeeping job also adds a relevant detail to the conversation.",4.0,"The response is relevant to the topic as it discusses the speaker's current life situation, including their job as a housekeeper, which is related to their feelings of loneliness and lack of social interaction.",3.0,"The response is somewhat engaging as it reveals a bit about the speaker's life and job, but it's also quite brief and doesn't invite further conversation or exploration of the interesting fact provided.",4.0,"The response demonstrates a good understanding of the context and conversation history. The speaker mentions their housekeeping job, which is relevant to their previous statement about being a housekeeper. The tone of keeping to themselves also aligns with the sentiment of wishing their children would visit more, implying a sense of loneliness or isolation. The response is coherent and shows awareness of the speaker's persona and previous statements.",5.0,"The response is fluent and natural, as it flows well from the previous turn in the conversation and the language used is simple and clear. The speaker's persona and context are also well-reflected in the response."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,5.0,"The response is coherent because it directly relates to the topic of football and shows interest in the fact provided, which is also about football. The tone is casual and the flow is natural, making it a fitting continuation of the conversation.",5.0,"The response is relevant to the topic of football and shows interest in discussing it further, with a specific reference to the University of Iowa's locker room.",3.0,"The response is somewhat engaging as it shows interest in football and asks a question related to the fact, but it does not directly share the interesting fact or elaborate on it.",4.0,"The response demonstrates a good understanding of the context by relating the fact about the University of Iowa's locker room to the conversation about football, and it also shows awareness of the previous statement by asking a relevant question.",5.0,"The response is fluent and natural, and it flows well from the previous turn in the conversation. The speaker is showing interest in football and asking a related question, which is a coherent and smooth continuation of the conversation."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1.0,"The response does not fit with the conversation context, as it suddenly changes the topic to a TV show and Ella Fitzgerald without any connection to the previous discussion about Studio Ghibli, animated films, or the events in D.C.",1.0,"The response does not relate to the topic of Studio Ghibli, animated films, or the events in D.C., but rather introduces a new topic of Ella Fitzgerald, which is not relevant to the conversation.",2.0,The response seems somewhat unrelated to the conversation and the provided fact. It mentions a show and Ella Fitzgerald without any clear connection to the previous discussion or the interesting fact about events in D.C.,1.0,"The response does not demonstrate understanding of the conversation history and context. The conversation was about Studio Ghibli, animated films, and events in D.C., but the response mentions a show and Ella Fitzgerald, which are unrelated to the previous discussion.",2.0,The response seems disjointed and unrelated to the previous conversation. The transition to Ella Fitzgerald is abrupt and lacks context.
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,5.0,"The response is highly relevant to the conversation context, as it mentions a national chess tournament, which is related to the previous mention of chess tournaments. The tone is also consistent, and the flow is smooth.",5.0,"The response is relevant to the topic being discussed, which is chess tournaments. The user had previously mentioned that they listen to music to help them focus for their chess tournaments, and the response continues this topic by mentioning a national chess tournament. This shows a clear connection to the conversation and contributes to the discussion.",4.0,"The response is engaging because it reveals a personal and ambitious goal, and also relates to a previously mentioned interest in chess. This can lead to a more in-depth and interesting conversation.",4.0,"The response demonstrates a good understanding of the context and conversation history, as it mentions competing in a national chess tournament, which is relevant to the previous discussion about chess. The response also shows awareness of the user's interests and preferences, such as playing chess and not drinking alcohol. However, it does not directly address the user's question about training, which slightly reduces its contextual understanding score.",5.0,"The response is a natural continuation of the conversation, and the mention of the national chess tournament is a coherent extension of the previous discussion about chess tournaments. The language used is also fluent and easy to understand."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1.0,"The response does not relate to the conversation about robotics and electronics, and instead introduces unrelated topics of sports and gaming.",1.0,"The response lacks direct relevance to the conversation about building robots and electronics, introducing unrelated topics.",1.0,The response does not engage with the conversation's context or the interesting facts provided.,1.0,"The response does not demonstrate understanding of the conversation history and context. The conversation is about Joan, a kindergarten teacher, and Chrissy, who is building a robot, while the response talks about being a sports fan and a gaming fan, which is unrelated to the topic of discussion.",1.0,"The response does not relate to the conversation about building a robot or the introduction, and it introduces new unrelated topics without connection."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,1.0,The response does not relate to the conversation about the movie 'Incredibles II' or the fact about the video game sequel. The mention of the director being in the movie as a kid is unrelated to the context and seems out of place.,1.0,"The response does not relate to the topic of the conversation, which is about the movie 'Incredibles II' and its cast, and instead introduces unrelated information about the director being in the movie as a kid.",1.0,"The response does not effectively incorporate the interesting fact about the video game sequel to the first Incredibles movie, and instead focuses on the director being in the movie as a kid, which is not relevant or accurate. This makes the response less engaging and interesting.",1.0,"The response does not demonstrate a clear understanding of the conversation history and context. It mentions the director being in the movie as a kid, which is not relevant to the previous discussion. The conversation was about the cast of the movie, specifically the actor who played Saul in Breaking Bad and the director's voice acting role as Edna Mode. The response does not acknowledge or build upon this context.",1.0,"The response does not flow naturally from the previous turn in the conversation. The user suddenly changes the subject to the director's age, which is not relevant to the discussion about the cast of the movie. The response also does not make sense in the context of the conversation, as there is no indication that the director was in the movie as a kid."
