context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Coherence_score,Coherence_reasoning,Creativity_score,Creativity_reasoning,Empathy_score,Empathy_reasoning,Knowledge_score,Knowledge_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,5,"The response is directly related to the context and the previous message, as it follows up on the discussion about HBO and shows interest in the other person's preferences.",4,"The response encourages further conversation by asking for recommendations, which can lead to a discussion about other shows or interests.",4,"The response logically follows the conversation by asking for recommendations, which is a natural progression after discussing what they do not watch. It maintains the flow and is relevant to the context.",1,"The response is straightforward and does not incorporate any interesting fact or unique perspective. It simply asks for recommendations, which is a common and expected follow-up in such a conversation.",3,"The response shows a moderate level of empathy by engaging with the other person's interest in HBO and seeking recommendations, which can help build a connection.",1,"The response does not provide any factual information or interesting facts, it is a request for recommendations."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,5,The response directly addresses the question about why we hiccup and provides a relevant and interesting fact that is scientifically accurate and pertinent to the conversation.,4,"The response introduces a unique and intriguing fact about hiccups, which is likely to pique the interest of the other person and encourage further discussion.",5,The response introduces a new and relevant fact about hiccups that logically follows the previous question. It maintains the flow of the conversation and adds value by providing an interesting and educational piece of information.,2,"The response directly incorporates the interesting fact about hiccups in a straightforward manner, but does not add any unique perspective or creative elaboration.",2,The response directly provides the fact without showing any personal connection or empathy towards the other person's curiosity or interest in the topic.,5,The response accurately provides the interesting fact about hiccups being a holdover from early evolution when land animals had both gills and lungs. The information is both accurate and relevant to the conversation.
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,4,"The response is directly related to the context, as it provides personal information that aligns with the greeting and the potential for a personal conversation.",4,"The response shares personal information which can encourage the other person to share similar details, fostering a more personal connection.",4,The response logically follows the greeting and introduces personal information that is relevant and adds to the conversation.,2,The response is straightforward and does not incorporate the provided fact in a creative or unique way. It simply states the age and sibling information without adding any additional context or perspective.,1,The response shares personal information but does not show empathy or understanding towards the other person's feelings or experiences.,2,"The response accurately reflects the persona facts provided, specifically the age and the sibling relationship. However, it does not provide any additional depth or information beyond these basic facts."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1,"The response does not relate to the context of the conversation, which was about the cultural revolution in China. The response talks about clothing and how the amount of clothing affects perception, which is not relevant to the previous message.",2,"The response does not relate to the interesting fact provided and does not encourage further conversation about the topic of Billy Mays' funeral or the cultural context of clothing. It introduces a new idea but does not connect it to the previous conversation, leading to a low engagement score.",1,"The response does not logically follow the conversation. The conversation shifts from discussing the origin of polo shirts to a cultural revolution in China, and the response about clothing and appearance does not connect to either topic.",1,The response does not incorporate the provided interesting fact about Billy Mays' funeral. It also does not add a unique perspective to the conversation and is not relevant to the context.,1,The response does not show any understanding or empathy towards the other person's feelings or experiences. It is unrelated to the context of the conversation and the provided fact.,1,The response does not provide accurate or relevant information related to the fact about Billy Mays' funeral. The response is unrelated to the context and the provided fact.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,4,"The response is relevant as it continues the conversation about the individual's personal life and job, which aligns with the context of the previous messages.",2,The response does not introduce new topics or interesting facts that could encourage further conversation. It is somewhat closed and does not invite the other person to engage more.,4,The response logically follows the conversation by addressing the previous question about talking to someone. It also maintains consistency with the persona by mentioning the housekeeping job.,1,The response does not incorporate the interesting fact and lacks creativity. It simply continues the conversation without adding a unique perspective or originality.,2,"The response shows a lack of engagement with the emotional content of the previous statement. It does not offer support or understanding, and instead shifts the focus to the speaker's job.",1,"The response does not provide any new or interesting facts, and it does not build upon the conversation in a meaningful way. It only confirms the speaker's isolation and the nature of their job."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,4,"The response is directly related to the context of football and introduces an interesting fact about a specific university's locker room, which is relevant to the conversation.",4,"The response introduces an interesting and unusual fact that is likely to surprise and engage the other person, encouraging further conversation.",4,"The response introduces a new fact about the University of Iowa's visitor locker room, which is relevant to the conversation about football. It maintains the flow by asking a question that builds on the provided fact.",4,"The response creatively introduces an interesting and unique fact about the University of Iowa's visitor locker room, which is painted pink. This fact is not commonly known and adds a unique perspective to the conversation about football.",2,The response does not show much empathy or understanding towards the other person's feelings or experiences. It introduces a fact but does not connect it to the other person's interests or feelings.,4,"The response accurately mentions the interesting fact about the University of Iowa's visitor locker room being painted pink, which is a known and verifiable fact. The depth of the information provided is sufficient for the context of the conversation."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1,The response is not directly related to the context and the previous message. It abruptly shifts to a new topic (Ella Fitzgerald) without any clear connection to the previous discussion about Studio Ghibli films and events in D.C.,2,"The response introduces a new topic (Ella Fitzgerald) without directly relating it to the previous conversation about Studio Ghibli and D.C. events, which may not encourage further interaction on the current topic.",1,"The response does not logically follow the conversation. It abruptly shifts from discussing events in D.C. to suggesting the listener check out a show and mentioning Ella Fitzgerald, without any clear connection to the previous context.",1,"The response does not incorporate the interesting fact provided and does not add a unique perspective to the conversation. It is a generic suggestion to check out a show and a question about a musician, which is not related to the context or the fact.",2,The response does not show much empathy or understanding towards the other person's feelings or experiences. It abruptly changes the subject to Ella Fitzgerald without addressing the previous statement about the crab feast or the interest in visiting DC.,1,The response does not provide any accurate or relevant information related to the interesting fact provided. It shifts the topic to a different subject without addressing the content of the fact.
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,5,"The response is highly relevant as it directly addresses the question about what the person is training for, and it ties back to the earlier mention of playing chess.",4,"The response introduces a specific and interesting activity (competing in a national chess tournament) that can lead to further questions and discussion, such as the preparation for the tournament or the experience of competing at a national level.",4,"The response logically follows the conversation, maintaining the context of the previous exchanges about chess. It also aligns with the persona of the speaker, who mentioned playing chess and staying in to cook, which can be seen as part of a disciplined lifestyle that could support chess training.",4,"The response creatively ties the persona's interest in chess to a specific goal (competing in a national chess tournament), which adds a unique perspective to the conversation.",3,"The response shows a moderate level of empathy by sharing a personal activity (chess tournament) that aligns with the conversation, but it does not directly address or acknowledge the other person's feelings about weight or self-consciousness.",3,"The response accurately mentions the individual's involvement in chess, which is consistent with the persona. However, it does not provide much depth beyond stating the competition, which is somewhat shallow in terms of information."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,2,The response introduces a new topic (sports and gaming) that is not directly related to the previous messages about building a robot and being clumsy with electronics.,2,"The response does not align with the context of the conversation, which is about building a robot. It introduces a new topic (sports and gaming) that is not directly related to the previous exchange, potentially derailing the conversation.",1,The response does not logically follow the conversation. The previous context was about building a robot and the speaker's clumsiness with electronics. Introducing a new topic about being a sports fan and a fan of gaming is not coherent with the flow of the conversation.,1,The response does not incorporate any of the provided facts and does not add a unique perspective to the conversation. It is a generic statement that does not show creativity.,1,The response does not show any understanding or empathy towards the other person's feelings or experiences. It shifts the focus to the responder's interests without acknowledging the other person's work or the difficulty they mentioned.,1,"The response does not provide any accurate or in-depth information related to the conversation or the provided fact. It introduces a new topic (sports) that is not connected to the previous conversation about building a robot, and it does not mention anything about the provided fact."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,2,The response does not mention the interesting fact about the video game sequel and is not directly related to the previous message about the director's involvement in the movie. It is somewhat related to the topic of the movie but does not add new information or continue the conversation in a relevant way.,2,The response does not introduce the interesting fact and does not encourage further conversation about the topic of the movie or the interesting fact provided.,2,"The response does not maintain the logical flow of the conversation. It abruptly shifts from discussing the casting and the director's involvement to an unrelated statement about the director being in the movie as a kid, which is not relevant to the previous discussion.",1,The response does not incorporate the interesting fact provided and does not add a unique perspective to the conversation.,1,The response does not show any empathy or understanding towards the other person's feelings or experiences. It does not acknowledge or build on the previous statement about the director's involvement in the movie.,1,"The response does not mention the fact about the video game sequel, and the information provided about the director is not relevant to the fact. The response lacks accuracy and depth regarding the provided fact."
