context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Relevance_score,Relevance_reasoning,Engagement_score,Engagement_reasoning,Coherence_score,Coherence_reasoning,Creativity_score,Creativity_reasoning,Empathy_score,Empathy_reasoning,Knowledge_score,Knowledge_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,5,"The response is directly related to the context and the previous message, as it follows up on the discussion about HBO and seeks recommendations for other shows, which is relevant to the ongoing conversation.",4,"The response asks for recommendations, which is likely to elicit a detailed response and continue the conversation.",4,"The response logically follows the conversation by asking for recommendations, which is relevant to the previous mention of liking other HBO content. It maintains the flow and adds value by showing interest in the other person's preferences.",1,"The response does not incorporate any interesting fact and does not add a unique perspective to the conversation. It is a straightforward request for recommendations, which is not particularly creative.",3,"The response shows a moderate level of empathy by engaging with the other person's interest in HBO and seeking recommendations, which can help build a connection. However, it does not directly acknowledge or address the other person's feelings about not liking Game of Thrones or the difficulty they had with the book.",1,The response does not provide any factual information or interesting facts to evaluate for accuracy or depth.
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,5,The response directly addresses the question about why we hiccup and provides a relevant and interesting fact that is directly related to the conversation.,4,"The response introduces a unique and intriguing fact about the evolutionary origins of hiccups, which is likely to pique the interest of the other person and encourage further discussion.",5,"The response logically follows the conversation and provides a relevant and interesting fact about hiccups, which is directly related to the previous question. The fact adds value to the conversation and maintains the flow.",2,"The response directly incorporates the interesting fact in a straightforward manner, but it does not add a unique perspective or creative twist to the conversation.",2,The response provides the interesting fact but does not show any empathy or understanding towards the other person's curiosity or the experience of learning about hiccups.,4,"The response accurately mentions the evolutionary origin of hiccups, which is a scientifically supported fact. The depth of information is moderate, as it provides a specific evolutionary context but does not elaborate further."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,3,"The response is somewhat relevant as it introduces personal information, but it does not directly address the greeting or the context of the conversation.",4,"The response shares personal information that can lead to follow-up questions or comments, such as asking about the older brother or discussing experiences at that age.",4,The response is coherent as it logically follows the greeting and introduces a personal detail that could naturally lead to further conversation.,2,"The response is straightforward and does not incorporate the interesting fact in a particularly creative or unique way. It simply states the age and mentions having an older brother, which is a direct and literal use of the provided persona facts.",2,"The response does not directly address the other person's feelings or experiences, but it does share a personal detail which could be seen as an attempt to relate. However, it lacks a clear empathetic connection to the other person's current state.",2,The response is accurate but lacks depth as it only provides a basic fact without elaboration.
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,1,"The response does not relate to the context or the previous message. The conversation is about the history and uses of polo shirts, and the response introduces an unrelated topic about the quantity of clothes worn.",2,"The response does not relate to the fact provided and does not encourage further conversation on the topic of Billy Mays' funeral or the cultural revolution in China. It introduces a new topic that is not directly connected to the previous conversation, which may not engage the other person effectively.",1,"The response does not logically follow the conversation. The conversation was about the history and design of polo shirts, and the response introduces an unrelated topic about the quantity of clothing and social perception, which does not maintain the flow or add value to the conversation.",1,The response does not incorporate the provided interesting fact about Billy Mays' funeral. It also does not add a unique perspective to the conversation about clothing or the cultural revolution in China.,1,The response does not show any understanding or empathy towards the other person's feelings or the context of the conversation. It introduces a new topic that is not relevant to the previous discussion about the cultural revolution in China.,1,The response does not provide accurate or relevant information related to the interesting fact about Billy Mays' funeral. The response is off-topic and does not contribute to the conversation in a meaningful way.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,3,"The response is somewhat relevant as it continues the conversation about the speaker's personal life and touches on their current job, which is a logical follow-up to the previous message. However, it does not directly address the issue of talking to someone about the problem, which was the last question asked.",3,"The response provides a personal detail about the speaker's job, which could lead to further questions or discussion about their work life or social interactions.",4,"The response logically follows the conversation by continuing the theme of social isolation and lack of social interaction, which is consistent with the persona and the previous statements.",2,The response does not incorporate the interesting fact in a creative or unique way. It simply states a fact about the job without adding any original perspective or engaging with the conversation in a creative manner.,3,"The response shows a moderate level of empathy by acknowledging the isolation implied in the previous statement. However, it does not deeply engage with the emotional aspects of the situation or offer further support or understanding.",2,"The response does not provide any new or interesting fact, and it does not relate to the provided interesting fact. It is accurate in the context of the persona but lacks depth in terms of information."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,4,"The response is directly related to the context of football and introduces an interesting fact about a football team's locker room, which is relevant to the conversation.",4,"The response introduces an interesting and unusual fact about the University of Iowa's visitor locker room, which is likely to pique curiosity and encourage the other person to ask more questions or share their thoughts.",4,The response is coherent as it logically follows the previous question about football and introduces the interesting fact about the University of Iowa's locker room in a relevant manner.,4,The response creatively introduces the interesting fact about the University of Iowa's locker room in a way that engages the conversation partner and adds a unique perspective.,1,The response does not show any empathy or understanding towards the other person's feelings or experiences. It simply shifts the conversation to an unrelated fact.,3,"The response accurately mentions the interesting fact about the University of Iowa's visitor locker room being painted pink, but it does not provide additional depth or context about why this is the case or any related information."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1,"The response is not directly related to the context and the previous message. The conversation was about events in D.C., and the response shifts to a question about Ella Fitzgerald, which is not relevant to the ongoing discussion.",2,"The response introduces a new topic (Ella Fitzgerald) without directly connecting it to the previous discussion about events in D.C., which may not encourage further interaction on the current topic of interest.",1,"The response does not logically follow the conversation. It abruptly shifts to a new topic without any clear connection to the previous discussion about Studio Ghibli films, DC events, or the crab feast. The mention of Ella Fitzgerald is also out of context.",1,The response does not incorporate the provided interesting fact and does not add a unique perspective to the conversation. It is a generic suggestion that does not demonstrate creativity.,1,The response does not show understanding or empathy towards the other person's feelings or experiences. It abruptly changes the subject to a different artist without acknowledging the previous discussion about Studio Ghibli or the shared interest in visiting DC.,1,"The response does not provide any accurate or relevant information related to the interesting fact provided. It shifts the topic to Ella Fitzgerald, which is unrelated to the context of the conversation and the provided fact."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,5,"The response is highly relevant as it directly addresses the previous question about what the person is training for, and it ties back to the earlier mention of chess tournaments.",4,"The response introduces a specific and interesting fact about competing in a national chess tournament, which can naturally lead to further questions or comments about the tournament, chess strategies, or the preparation process.",4,"The response logically follows the conversation by maintaining the context of personal interests and activities. It also ties back to the earlier mention of chess, which adds consistency and relevance.",4,"The response creatively ties the interesting fact about chess into the conversation by linking it to a national chess tournament, which adds a unique perspective and personal goal.",2,The response focuses on the speaker's own interests and activities without acknowledging or showing understanding of the other person's feelings or experiences.,3,"The response accurately mentions the individual's involvement in chess, which is consistent with the persona. However, it does not provide much depth beyond stating the competition, which could have been elaborated on."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,2,The response introduces new topics (sports and gaming) that are not directly related to the context or the previous message about building a robot and being clumsy with electronics.,2,"The response does not directly relate to the previous conversation or the provided interesting facts, and it does not encourage further interaction or conversation.",2,The response does not logically follow the conversation. It introduces a new topic (sports and gaming) that is not related to the previous exchange about building a robot and being clumsy with electronics.,1,The response does not incorporate any of the provided interesting facts and lacks originality or a unique perspective.,1,"The response does not show any understanding or empathy towards the speaker's feelings or experiences. It introduces unrelated personal information about being a sports fan and a fan of gaming, which does not connect with the speaker's comment about being clumsy with electronics.",1,The response does not provide any accurate or in-depth information related to the interesting facts provided. It is a general statement that does not contribute to the knowledge aspect of the conversation.
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,2,"The response does not mention the interesting fact about the video game sequel and instead provides a comment on the director's role, which is not directly related to the previous message about the director's casting choices.",2,The response does not introduce the interesting fact and does not encourage further conversation about the topic. It is a brief and somewhat disconnected statement that does not build on the previous discussion about the director's involvement.,2,"The response does not maintain the logical flow of the conversation. It introduces a new fact about the director being in the movie as a kid, which is not directly related to the previous discussion about the cast and the director's role in the movie. The provided fact about the video game sequel is not used, which could have added more value to the conversation.",1,The response does not incorporate the provided interesting fact and does not add a unique perspective to the conversation.,2,"The response does not acknowledge or show understanding of the other person's interest in the movie or the director's involvement. It also does not connect to the interesting fact provided, which could have been an opportunity to show empathy and shared interest.",1,"The response does not provide accurate or relevant information about the fact mentioned. It does not address the video game sequel and instead makes an unrelated comment about the director being in the movie as a kid, which is not accurate or relevant to the provided fact."
