context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Understandable_score,Understandable_reasoning,Natural_score,Natural_reasoning,Maintains Context_score,Maintains Context_reasoning,Interesting_score,Interesting_reasoning,Uses Knowledge_score,Uses Knowledge_reasoning,Overall Quality_score,Overall Quality_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,1.0,"The response is a direct follow-up to the previous statement about liking HBO for other things besides Game of Thrones. It asks for recommendations, which is a logical continuation of the conversation. The use of 'you' and 'HBO' is clear and makes sense in the context.",3.0,"The response is a natural continuation of the conversation. It follows the flow of the dialogue by asking for recommendations, which is a common way to engage further in a discussion about TV shows and preferences. The language used is casual and fits the context of the conversation.",3.0,"The response directly follows the conversation about HBO and the types of shows the participants like to watch. It asks for recommendations on other HBO content, which is a logical continuation of the discussion about HBO programming.",2.0,"The response is somewhat interesting because it engages the other person by asking for recommendations, which can lead to a more in-depth conversation about HBO shows. However, it doesn't present any particularly interesting fact or information.",0.0,"The response does not mention or refer to any fact, as there is no fact provided in the context. Therefore, it does not use any fact.",5.0,"The response is relevant to the conversation, as it continues the topic of HBO shows and asks for recommendations, which is a natural progression. It engages the other person and invites them to share more, which is a positive quality. There are no significant flaws in the response, making it a good continuation of the dialogue."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,1.0,The response is clear and directly answers the question about why we hiccup. It provides the fact that hiccups are a holdover from early evolution when land animals had both gills and lungs. The use of pronouns and sentence structure is correct and makes sense in the context of the conversation.,3.0,The response is naturally written and fits well within the context of the conversation. It provides the interesting fact about hiccups in a way that feels like a natural continuation of the dialogue.,3.0,"The response directly answers the question posed in the conversation about why we hiccup. It provides the fact about hiccups being a holdover from early evolution, which is relevant to the question asked. Therefore, it serves as a valid continuation of the conversation.",3.0,"The response provides an interesting fact about the evolutionary origin of hiccups, which is likely to engage the listener and add depth to the conversation. It goes beyond a simple agreement or generic statement, offering new information that could spark further discussion.",1.0,The response directly uses the fact provided about hiccups being a holdover from early evolution when land animals had both gills and lungs. It answers the question about why we hiccup by incorporating the fact into the response.,4.0,"The response provides the interesting fact about hiccups being a holdover from early evolution, which is relevant to the question asked. However, it starts with ""I don't know,"" which contradicts the fact that follows, creating a slight inconsistency. Despite this, the response is informative and directly answers the question, making it a good response overall."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,1.0,"The response 'i'm 13 with an older brother .' is clear and directly relates to the fact provided about the speaker's persona. It is understandable in the context of a conversation where personal details might be shared, such as age and family information.",3.0,The response 'i'm 13 with an older brother .' is a natural way for someone to introduce themselves or share personal information in a casual conversation. It fits well with the context of a greeting and is consistent with the provided facts about the persona.,3.0,"The response 'i'm 13 with an older brother' is a valid continuation of the conversation 'good evening. how are you?' because it introduces personal information that could naturally follow a greeting and inquiry about one's well-being. It doesn't drastically change the topic and acknowledges the context by providing a personal detail, which can lead to further conversation.",2.0,"The response 'i'm 13 with an older brother' is somewhat interesting because it provides personal information that could lead to further conversation, but it doesn't present a particularly unique or engaging fact. It is more than just a generic statement but lacks the intrigue of a more unusual or surprising fact.",1.0,"The response directly uses the fact that the speaker is 13 years old and has an older brother, which is part of the provided facts.",5.0,"The response is relevant to the context as it provides a personal detail that fits naturally into the conversation. It is coherent and directly related to the fact provided, which is that the speaker is 13 years old and has an older brother. There are no grammatical errors or awkward phrasing, and it contributes to the flow of the conversation by sharing personal information that could lead to further discussion. Therefore, it meets the criteria for a very good response."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,0.0,"The response 'basically the more clothes you wore the better you looked to others' does not logically follow from the context of the conversation, which was about the cultural revolution in China. The response is not understandable in this context as it does not relate to the previous discussion or the fact provided.",1.0,"The response 'basically the more clothes you wore the better you looked to others' does not naturally follow from the context of the conversation. The conversation was about clothing and its origins, and the response seems unrelated to the fact provided about Billy Mays' funeral. It doesn't fit the flow of the conversation and seems out of place, making it unnatural.",1.0,"The response 'basically the more clothes you wore the better you looked to others' does not serve as a valid continuation of the conversation history. The conversation was discussing the cultural revolution in China, and the response shifts the topic to a general statement about clothing without any connection to the previous discussion. It does not acknowledge the conversation history in any meaningful way.",1.0,"The response provided is not directly related to the fact about Billy Mays' funeral, nor does it introduce any new or interesting information. It is a generic statement about clothing, which does not engage the conversation or provide an interesting fact. Therefore, it is considered dull.",0.0,"The response does not mention or refer to the fact about Billy Mays' funeral at all. It talks about clothing in a general sense, but does not connect to the specific detail provided in the fact.",2.0,"The response provided does not directly relate to the context of the conversation or the fact about Billy Mays' funeral. It introduces a new topic about clothing without any clear connection to the previous discussion or the fact. This makes the response seem out of place and potentially confusing, as it doesn't contribute to the flow of the conversation or acknowledge the interesting fact provided. Therefore, it is a valid response but poor in quality."
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,1.0,"The response is clear and directly addresses the question about whether the speaker has talked to anyone about their situation. It provides a reason for not talking to others, which is understandable in the context of the conversation.",3.0,"The response is a natural continuation of the conversation. It acknowledges the previous statement about not talking to anyone and provides a reason related to the speaker's job, which fits the context and persona provided.",3.0,"The response directly addresses the previous question about whether the speaker has talked to anyone about their situation. It maintains the context by explaining why the speaker hasn't talked to anyone, linking it to their job as a housekeeper, which is not social. This response is a valid continuation of the conversation and acknowledges the previous turn.",2.0,"The response provides a personal insight into the speaker's life, mentioning their job as a housekeeper and its lack of social interaction. While it adds a bit of depth to the conversation, it doesn't introduce a particularly interesting fact or engaging element. It is somewhat interesting because it gives a glimpse into the speaker's life and situation, but it doesn't elevate the conversation to a highly interesting level.",0.0,The response does not use the fact that the speaker used to be a painter or that they are now a housekeeper. It only mentions the housekeeping job in a general sense without connecting it to the fact provided.,4.0,"The response is relevant to the context and fact provided. It acknowledges the previous statement about not talking to anyone and adds a personal touch by mentioning the nature of the housekeeping job. This response is coherent and maintains the flow of the conversation, making it a good response. However, it could be improved by offering more engagement or empathy, which is why it falls short of a perfect score."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,1.0,"The response is clear and directly related to the context of liking football. It introduces an interesting fact about the University of Iowa's locker room, which is understandable and relevant to the topic of football.",3.0,"The response is a natural continuation of the conversation. It starts with a personal opinion about football, which is a common way to engage in a conversation about sports. Then, it smoothly transitions into sharing an interesting fact about the University of Iowa's locker room, which is relevant to the topic of football. The structure and flow of the response are typical of a natural conversation.",3.0,"The response is a valid continuation of the conversation about football. It introduces an interesting fact related to football, specifically about the University of Iowa's locker room, which is relevant to the topic of football.",3.0,"The response introduces an interesting fact about the University of Iowa's visitor locker room being painted pink, which is likely to engage the other person in the conversation. It goes beyond a simple agreement or opinion by adding a unique and intriguing piece of information.",1.0,"The response directly uses the fact by asking about the color of the University of Iowa's visitor locker room, which is the interesting fact provided.",5.0,"The response is relevant to the context of liking football and introduces an interesting fact about a football-related topic, which is the University of Iowa's locker room. It smoothly transitions from expressing personal interest to sharing a fact, making it engaging and informative. There are no apparent flaws in the response."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,1.0,"The response is understandable in the context of the conversation. The person is suggesting to check out a show and then asks about listening to Ella Fitzgerald. The transition from the previous context to the response is clear, even though it introduces a new topic.",2.0,"The response is somewhat disjointed and doesn't naturally follow from the context or the fact provided. It introduces Ella Fitzgerald without a clear connection to the previous conversation or the fact, making it feel out of place. However, it is not entirely unnatural as it could be a conversational pivot, albeit an awkward one.",1.0,"The response does not maintain the context of the conversation. The previous discussion was about visiting Washington D.C. and events happening there, including a crab feast. The response shifts the topic to Ella Fitzgerald, which is unrelated to the conversation about D.C. events or the fact provided.",2.0,"The response is somewhat interesting because it introduces a new topic by asking if the other person has listened to Ella Fitzgerald, which could lead to a discussion about music. However, it doesn't directly relate to the context or provide an interesting fact, so it doesn't reach the highest level of interest.",0.0,"The response does not mention or refer to any of the events or facts provided in the interesting fact. It talks about Ella Fitzgerald, which is unrelated to the fact provided.",1.0,"The response does not relate to the context or the fact provided. The conversation is about events in Washington D.C., and the fact provides details about various events happening there. However, the response talks about a show and Ella Fitzgerald, which are unrelated to the context or the fact. This makes the response invalid in the context of the conversation."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,1.0,"The response is clear and directly answers the question about what the person is training for. It mentions competing in a national chess tournament, which aligns with the previous context where the person mentioned playing chess. The response is coherent and understandable in the given context.",3.0,"The response is directly related to the context of the conversation, where the other person asked what the speaker is training for. The response naturally follows the question and provides relevant information about the speaker's activities and interests, which aligns with the persona facts provided.",3.0,"The response directly answers the question about what the speaker is training for by stating they are competing in a national chess tournament. This ties back to the earlier mention of chess tournaments in the conversation, maintaining the context effectively.",2.0,"The response provides a specific and personal detail about the speaker's life, which is somewhat interesting. It reveals that the speaker is competing in a national chess tournament, which could engage the other person in the conversation. However, it doesn't present an unexpected or particularly intriguing fact, so it doesn't reach the highest level of interest.",1.0,"The response directly uses the fact that the persona likes to play chess by mentioning participation in a national chess tournament, which is relevant to the context of the conversation.",5.0,"The response is relevant to the context as it directly answers the question about what the speaker is training for. It also ties back to the earlier mention of chess, maintaining coherence in the conversation. The response is clear and informative, providing a specific detail about the speaker's activities. There are no significant flaws in the response, making it a very good continuation of the conversation."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1.0,"The response is understandable in the context of the conversation. The person is expressing their interest in sports and gaming, which is clear and coherent. There are no pronouns or references that make the response confusing.",2.0,"The response 'i am a huge sports fan . i am a huge fan of gaming .' is somewhat disconnected from the context of the conversation. While it is not entirely unnatural for someone to mention their interests in sports and gaming, it does not directly relate to the previous statements about building a robot or being clumsy with electronics. Therefore, it feels a bit out of place, making it strange but not entirely unnatural.",1.0,"The response does not acknowledge the conversation history about Joan being a kindergarten teacher or Chrissy building a robot. Instead, it introduces a new topic about being a fan of sports and gaming, which is unrelated to the previous discussion.",2.0,"The response is somewhat interesting because it expresses a personal interest in sports and gaming, which could engage the other person in the conversation. However, it does not present any particularly unique or intriguing information or fact that would make it very interesting.",0.0,"The response does not mention or refer to any of the facts provided, such as designing Starcraft, building a robot, having a water allergy, being a Twitch streamer, or being a recluse. It only talks about being a fan of sports and gaming, which are unrelated to the facts.",2.0,"The response does not directly relate to the context or the interesting facts provided. It introduces a new topic (being a sports and gaming fan) that is not connected to the previous conversation or the persona facts. This makes the response somewhat disjointed and less relevant, which affects the overall quality negatively. However, it is still a valid response in terms of conversational structure, so it is not completely invalid."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,1.0,"The response is understandable in the context of the conversation. The speaker is referring to the director's involvement in the movie, which aligns with the previous mention of the director doing a voice in the movie. The mention of the director being in the movie as a kid is a bit confusing, but it doesn't make the response completely incomprehensible.",1.0,"The response is unnatural because it doesn't logically follow from the context or the fact provided. The statement ""i guess he was in the movie as a kid"" is confusing and doesn't relate to the fact about the video game sequel. It seems disjointed and doesn't contribute meaningfully to the conversation.",1.0,"The response does not acknowledge the conversation history about the cast and director of ""Incredibles 2"" or the fact about the video game sequel. Instead, it introduces an unrelated idea about the director being in the movie as a kid, which is not relevant to the context or the provided fact.",1.0,"The response does not incorporate the interesting fact provided about the video game sequel to ""The Incredibles."" Instead, it makes a generic comment about the director being perfect for the movie, which does not add any new or engaging information to the conversation. Therefore, it is considered dull.",0.0,"The response does not mention or refer to the fact about the video game sequel at all. It talks about the director's involvement in the movie, which is unrelated to the fact provided.",1.0,"The response does not address the interesting fact provided about the video game sequel to ""The Incredibles."" Instead, it makes an unrelated comment about the director being in the movie as a kid, which is factually incorrect and irrelevant to the context. This makes the response invalid and misleading, significantly detracting from the conversation's quality."
