context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Understandable_score,Understandable_reasoning,Natural_score,Natural_reasoning,Maintains Context_score,Maintains Context_reasoning,Interesting_score,Interesting_reasoning,Uses Knowledge_score,Uses Knowledge_reasoning,Overall Quality_score,Overall Quality_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,1.0,"The response is understandable in the context of the conversation. The user is asking for recommendations on what to watch on HBO, which is a relevant topic in the conversation.",3,"The response is a natural continuation of the conversation, as it asks for recommendations based on the previous mention of HBO. It is written in a way that a person would naturally speak.",3,The response maintains the context of the conversation by continuing to discuss the topic of HBO shows. It does not drastically change the topic or ignore the conversation history.,2,"The response is somewhat interesting as it shows engagement in the conversation by asking for recommendations. However, it does not provide any interesting fact or unique perspective.",0.0,"The response does not use any specific fact, as no fact was provided. Therefore, it is not possible to evaluate the use of knowledge in this response.",4,"The response is relevant to the context of the conversation and shows interest in the other person's preferences. It also opens up the conversation for further discussion and recommendations. However, it does not provide any new information or interesting fact."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,1.0,"The response is understandable in the context of the conversation. The speaker acknowledges not knowing the answer to the question about hiccups, and then provides a fact about hiccups being a holdover from early evolution when land animals had both gills and lungs.",2,"The response is relevant to the context and provides an interesting fact about hiccups. However, the phrasing 'i do n't know . i know that' is a bit awkward and unnatural. A more natural response would be 'I'm not sure, but I know that hiccups are a holdover from early evolution when land animals had both gills and lungs.'",3,"The response is a direct continuation of the conversation history, as it answers the question posed by the previous speaker about the cause of hiccups. It also provides an interesting fact related to the topic.",3,"The response provides an interesting fact about hiccups being a holdover from early evolution when early land animals had both gills and lungs. This fact is not commonly known and adds value to the conversation, making it interesting.",1.0,"The response directly uses the fact provided, stating that hiccups are a holdover from early evolution when land animals had both gills and lungs. It does not add any additional information or context, but it does use the fact accurately and directly.",4,"The response is accurate and relevant to the conversation, providing an interesting fact about hiccups. However, it starts with 'I don't know', which could be seen as a negative quality. Despite this, the response is still good and contributes to the conversation."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,1.0,"The response is understandable in the context of the given fact. The responder is stating their age and the fact that they have an older brother, which aligns with the provided persona information.",1,The response is not related to the context of the conversation and seems to be a non-sequitur. It does not address the question asked by the previous speaker and does not provide any information about the speaker's beliefs or experiences related to the topic of stars of the zodiac.,2,"The response does not acknowledge the greeting or inquire about the other person's well-being, but it does maintain context by sharing the age and the fact that the speaker has an older brother, which is relevant to the conversation.",2,"The response is somewhat interesting as it provides a personal detail about the speaker's age and the fact that they have an older brother. However, it does not provide any new or particularly engaging information that would make the conversation more interesting.",0.5,"The response uses the fact that the speaker is 13 years old and has an older brother. However, it does not mention the other facts provided.",3,"The response is relevant to the conversation and provides some personal information, which is good. However, it only mentions the age and the existence of an older brother, while there are more details available in the fact section. The response could be improved by adding more details to make it more engaging and informative."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,0.0,"The response does not seem to be related to the context of the conversation or the provided fact. It appears to be a non sequitur, making it difficult to understand in the given context.",1,"The response does not seem to be something that a person would naturally say in this context. It does not relate to the topic of the conversation, which is about a cultural revolution in China, nor does it relate to the provided fact about Billy Mays' funeral. Therefore, it is considered unnatural.",1,"The response does not maintain the context of the conversation. It abruptly shifts the topic from a discussion about the cultural revolution in China to a statement about clothing, which is not directly related to the conversation history. The fact provided about Billy Mays' funeral is also not incorporated into the response.",1,"The response does not relate to the given fact or the context of the conversation. It is a generic statement about clothing and does not provide any interesting or engaging information. Therefore, it scores a 1 on the Interesting metric.",0.0,"The response does not mention or refer to the fact about Billy Mays' funeral at all. Instead, it talks about a general statement about clothing, which is not related to the given fact.",1,"The response does not relate to the given fact or the context of the conversation. It seems to be a non sequitur, as it does not follow the topic of the conversation, which was about the cultural revolution in China. The response is also not an interesting fact, as it is a subjective statement about fashion."
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,1.0,"The response is understandable in the context of the conversation. The speaker is explaining why they don't talk to anyone about their problems, stating that their job as a housekeeper doesn't provide many social opportunities.",1,"The response does not seem to be something that a person would naturally say in this context. The response is unrelated to the topic of the conversation, which is about stars of the zodiac and personal beliefs. The response seems to be about a teacher and a student, which is not relevant to the conversation.",2,"The response does not directly address the question about talking to someone about the situation, but it does provide contextual information about the speaker's life and why they might not have talked to anyone about it. Therefore, it maintains the context to some extent.",2,"The response is somewhat interesting as it provides a bit of insight into the speaker's life and job, but it does not present any particularly interesting fact or engaging topic.",0.5,"The response does not directly use the given facts about the persona's children not visiting, her past beauty, or her age. However, it does indirectly reference her job as a housekeeper, which is one of the facts provided. Therefore, the response partially uses the given fact.",4,"The response is relevant to the context and provides a reasonable explanation for why the speaker might not have talked to anyone about their feelings. It also reveals more about the speaker's personality and current situation, which can help to advance the conversation. However, it does not directly address the question about whether the speaker has talked to anyone about their feelings, which is a minor flaw."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,1.0,"The response is understandable in the context of the conversation. The speaker is expressing their love for football and then asking a question related to the sport, which is the color of the University of Iowa's visitor locker room.",1,"The response does not seem to be something that a person would naturally say in this context. It does not address the question about the zodiac and instead talks about a teacher and a student, which seems out of place.",2,"The response does not directly answer the question about liking football, but it does maintain the context of the conversation by asking a related question about football. Therefore, it can be considered a valid continuation of the conversation.",2,"The response is somewhat interesting as it prompts curiosity about the color of the University of Iowa's visitor locker room, but it does not provide an interesting fact or detail.",0.5,"The response does not directly use the fact about the University of Iowa's locker room being painted pink. However, it does indirectly use the fact by asking a question about the color of the locker room, which could lead to a conversation about the fact.",4,"The response is relevant to the context and shows interest in the conversation. It also introduces the interesting fact about the University of Iowa's locker room in a way that encourages further discussion. However, it does not directly answer the question about liking football, which could be seen as a minor flaw."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,0.0,"The response 'yes, i think it was a great show, you should check it out and get it up. have you ever listened to ella fitzgerald?' does not seem to be understandable in the context of the given conversation. The conversation is about events happening in DC this summer, and the response seems to be about a music show or concert, but it is not clear which one. The mention of Ella Fitzgerald also seems out of context.",2,"The response seems to be a natural continuation of the conversation, as it maintains the topic of events happening in DC and suggests a musical artist to check out. However, the response does not directly relate to the fact provided, which could make it seem slightly out of context.",1,"The response does not maintain the context of the conversation, as it does not refer to any of the topics discussed in the conversation history, such as Studio Ghibli films, the city of DC, or the events happening in DC this summer. Instead, it introduces a new topic about a show and Ella Fitzgerald.",2,"The response is somewhat interesting as it mentions checking out a show and listening to Ella Fitzgerald, but it does not provide any context or interesting fact related to the conversation or the given fact.",0.0,"The response does not mention or refer to the fact at all. It does not discuss any of the events or concerts happening in DC, nor does it mention the artists or the National Postal Museum's birthday celebration. Instead, it talks about a different topic, asking if the person has ever listened to Ella Fitzgerald.",2,"The response is not relevant to the context of the conversation, which was about events happening in DC and animated movies. The response mentions a show and Ella Fitzgerald, which were not previously discussed. Therefore, it seems like a non-sequitur and does not contribute to the conversation in a meaningful way."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,1.0,"The response is understandable in the context of the history. The speaker mentions that they are training for a chess tournament, which aligns with their previous statement about playing chess. The response also mentions that competing helps them keep focus, which is a logical continuation of the conversation.",3,"The response is natural and relevant to the context of the conversation. The speaker is sharing their involvement in a chess tournament, which aligns with their previous mention of playing chess and helps them focus.",3,"The response maintains the context of the conversation by continuing to discuss the speaker's interest in chess and how it helps them focus. It also aligns with the provided persona facts, as the speaker mentions competing in a national chess tournament, which is relevant to their interest in chess and maintaining focus for tournaments.",2,"The response is somewhat interesting as it provides information about the speaker's involvement in a national chess tournament, which could engage the listener in the conversation. However, it does not provide any additional interesting facts or details.",0.5,"The response mentions that the speaker is competing for a national chess tournament, which aligns with the fact that the speaker likes to play chess. However, it does not incorporate the other facts provided.",4,"The response is relevant to the conversation and provides additional information about the speaker's involvement in chess. It also explains how chess helps the speaker maintain focus. The response is coherent, engaging, and maintains the flow of the conversation. However, it does not directly address the question 'what are you training for?'. Instead, it assumes that the listener understands that the speaker is referring to chess training."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1.0,"The response 'i am a huge sports fan . i am a huge fan of gaming .' is understandable on its own, but it does not seem to connect with the previous context. However, the task only asks to evaluate if the response is understandable, not if it is on topic. Therefore, it is understandable in the sense that we know what the person is trying to say.",1,"The response does not seem to be something that a person would naturally say in this context. The response is about being a sports and gaming fan, which does not relate to the conversation about stars of the zodiac and religion.",1,"The response does not maintain context as it drastically changes the topic from the conversation history, which was about electronics and robot building. The response also does not align with any of the provided personas.",2,"The response is somewhat interesting as it provides a personal interest of the speaker, which is sports and gaming. However, it does not provide any new or intriguing information that could spark further conversation or curiosity.",0.0,"The response does not mention or refer to the fact at all. It talks about being a sports and gaming fan, which is not related to any of the given facts.",4,"The response is valid and relevant to the conversation, as it shares a personal interest. However, it does not incorporate the given fact, which could have added more depth and relevance to the conversation. Therefore, it falls short of being perfect."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,1.0,"The response is understandable as it is a comment about the director of the movie. However, it does not relate to the given fact about the video game sequel to the first Incredibles movie. Therefore, it is not directly relevant to the context, but it is still understandable.",1,"The response does not seem to be something that a person would naturally say in the given context. It does not relate to the conversation about theaters, movies, and the cast of 'Incredibles 2'. Instead, it mentions the director being in the movie as a kid, which is not relevant to the conversation and seems out of place.",1,"The response does not acknowledge the conversation history and drastically changes the topic. The conversation was about the Incredibles movies and the cast, while the response mentions the director being in the movie as a kid, which is not relevant to the conversation.",1,The response does not provide any new or interesting information related to the context or the given fact. It is a generic statement that does not engage the conversation.,0.0,"The response does not mention or refer to the fact at all. It does not discuss the video game sequel to the first Incredibles movie, which was released 13 years before Incredibles II.",2,"The response does not relate to the given fact or the context of the conversation. It seems to be a continuation of the previous topic, but it does not provide any new or relevant information. The response also contains an inaccurate statement about the director being in the movie as a kid, which is not mentioned in the provided context."
