context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Understandable_score,Understandable_reasoning,Natural_score,Natural_reasoning,Maintains Context_score,Maintains Context_reasoning,Interesting_score,Interesting_reasoning,Uses Knowledge_score,Uses Knowledge_reasoning,Overall Quality_score,Overall Quality_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,1,"The response is understandable in the context of the conversation. The user is asking for recommendations on what to watch on HBO, which is a relevant topic given the previous context of discussing HBO shows.",3,"The response is a natural continuation of the conversation, asking for recommendations on what to watch on HBO. It is a common question that people ask when discussing TV shows and channels.",3,"The response maintains the context of the conversation by continuing to discuss HBO programming, even though the specific topic of Game of Thrones has been dismissed. The response also acknowledges the conversation history by asking for recommendations based on the other person's viewing habits.",2,"The response is somewhat interesting as it shows engagement in the conversation by asking for recommendations. However, it does not provide any interesting fact or information.",0,"The response does not use any specific knowledge or fact, as no fact was provided. It simply asks for recommendations on what to watch on HBO.",4,"The response is relevant to the context as it continues the discussion about HBO. It also encourages the other person to share their preferences, which can help maintain the conversation. However, it does not introduce any new or interesting information."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,1,The response is understandable in the context of the conversation. The speaker is expressing their lack of knowledge about the cause of hiccups and then providing the fact about hiccups being a holdover from early evolution when land animals had both gills and lungs.,2,"The response is grammatically correct and provides relevant information related to the topic of hiccups. However, it starts abruptly without any transition or acknowledgement of the previous statement, which makes it seem less natural. A more natural response might include a transition phrase such as 'Actually, I just learned that...' or 'Interestingly, hiccups are...' to make the response flow more smoothly.",3,"The response directly addresses the question asked by the previous speaker and provides a relevant fact related to the topic of hiccups. Therefore, it serves as a valid continuation of the conversation history.",3,The response provides an interesting fact about hiccups being a holdover from early evolution when early land animals had both gills and lungs. This fact is not commonly known and can spark curiosity and further conversation.,1,"The response directly uses the fact provided, explaining that hiccups are a holdover from early evolution when land animals had both gills and lungs.",4,"The response is accurate and relevant to the conversation, providing an interesting fact about hiccups. It also acknowledges the lack of knowledge before providing the fact, which is a good conversational strategy. However, the response could have been more engaging by asking the other person if they knew the fact or by adding a personal comment."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,1,"The response is understandable in the context of the history. The speaker is stating their age and the fact that they have an older brother, which aligns with the given persona facts.",3,"The response is concise and directly answers the question, which makes it seem like a natural response. It also provides relevant information about the speaker's age and family, which is a common topic in casual conversations.",2,"The response does not directly address the greeting 'good evening. how are you?' but it does provide information about the speaker's age and family, which can be considered as a response to a general inquiry about oneself. However, it does not fully maintain the context of the conversation.",2,"The response is somewhat interesting as it provides a personal detail about the speaker's age and the fact that they have an older brother. However, it does not provide any particularly engaging or fascinating information.",1,The response directly uses the fact that the persona is 13 years old and has an older brother. It integrates this information well into the response.,3,"The response is relevant to the conversation as it provides information about the speaker's age and the fact that they have an older brother. However, it does not add much to the conversation beyond what is already known from the provided facts. Therefore, it is a neutral response."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,0,"The response does not seem to be related to the context of the conversation or the provided fact. It appears to be discussing clothing, but the connection to the funeral attire of Billy Mays' pallbearers is not clear. Therefore, it is difficult to understand the intended meaning of the response.",1,"The response does not seem to be something that a person would naturally say in the given context. The response is about clothing and looking good to others, which does not relate to the fact provided about Billy Mays' funeral or the conversation about inventions and phones.",1,The response does not maintain the context of the conversation. It introduces a new topic about clothing and does not relate to the conversation history or the provided fact about Billy Mays' funeral.,1,"The response does not relate to the conversation or the provided fact, and it is not particularly interesting or engaging. It seems to be a generic statement about clothing.",0,"The response does not mention or refer to the fact about Billy Mays' funeral at all. Instead, it talks about a general statement about clothing, which is not related to the fact provided.",2,"The response does not relate to the fact provided about Billy Mays' funeral, nor does it connect to the conversation about clothing. It seems to be a non sequitur and does not contribute to the conversation in a meaningful way."
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,1,"The response is understandable in the context of the conversation. The speaker is explaining why they don't talk to others about their personal issues, which is due to the nature of their job as a housekeeper. This response is coherent and makes sense given the previous context.",3,"The response seems to be something that a person would naturally say, as it is a personal reflection on the speaker's job and social life. It is a coherent and relevant response to the previous statement about talking to someone about the issue.",3,"The response 'no, i keep to myself . my housekeeping job isn't exactly a social one .' is a valid continuation of the conversation history. The speaker is explaining why they haven't talked to anyone about their situation, which is a direct response to the previous statement 'that's unfortunate . have you talked to anyone about this ?'. The response also aligns with the persona information provided, as it mentions the speaker's housekeeping job.",2,"The response is somewhat interesting as it provides a bit of insight into the speaker's life and job, but it does not present any particularly interesting fact or engage the listener in a more captivating way.",0.3,"The response does not directly use the given facts, but it does provide context that aligns with the persona's situation. The speaker mentions their housekeeping job, which is a fact about their persona. However, the response does not explicitly use the facts about their children not visiting, their past beauty, or their age.",4,"The response is relevant to the context and provides a reasonable explanation for why the speaker might not have talked to anyone about her situation. It also reveals more about the speaker's persona, which adds depth to the conversation. However, it does not actively engage the other speaker or attempt to steer the conversation in a more positive direction."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,1,"The response is understandable in the context of the conversation. The question about the color of the University of Iowa's visitor locker room is a follow-up to the initial question about football, indicating a possible interesting fact about football.",3,"The response is a natural continuation of the conversation, as it directly relates to the topic of football and introduces a new piece of information in a conversational manner.",1,"The response does not directly address the question about whether the other person likes football. Instead, it introduces a new topic about the color of the University of Iowa's visitor locker room. Therefore, it does not serve as a valid continuation of the conversation history.",2,"The response is somewhat interesting as it introduces a question about a specific detail related to football, which could engage the other person in the conversation. However, it does not provide the interesting fact itself.",0.5,"The response does not directly mention or refer to the fact about the University of Iowa's locker room being painted pink. However, it does indirectly use the fact by asking a question about the color of the locker room, which could lead to a conversation about the fact. Therefore, the response uses the fact to some extent, but not fully.",4,"The response is relevant to the context and introduces an interesting fact about the University of Iowa's locker room. However, it does not directly answer the question about whether the speaker likes football or not. Therefore, it is a good response but falls short of being perfect due to this key flaw."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,0,"The response does not seem to be related to the context of the conversation, which was about events happening in DC and animated movies. The response mentions a show and Ella Fitzgerald, which were not previously discussed.",1,"The response is not relevant to the context of the conversation, which was about events happening in DC and animated movies. The response talks about a show and Ella Fitzgerald, which seems out of place. Therefore, it does not seem like something a person would naturally say in this context.",1,"The response does not maintain the context of the conversation. The conversation was about Studio Ghibli films, a crab feast in DC, and various events happening in DC. The response suddenly shifts the topic to a show and Ella Fitzgerald, which is not related to the conversation history.",1,"The response does not relate to the context of the conversation, which was about events happening in DC and animated movies. Instead, it mentions a music show and asks about listening to Ella Fitzgerald. Therefore, it does not provide an interesting fact or engage with the conversation topic.",0,"The response does not mention or refer to the fact at all. The fact provided is about various events happening in DC, including a concert by Flasher, a birthday celebration at the National Postal Museum, a musical at the Kennedy Center, a talk about Harry Potter, and a performance by Rico Nasty. However, the response mentions a show by Ella Fitzgerald, which is not related to any of the events mentioned in the fact.",1,"The response is not relevant to the context of the conversation, which is about events happening in DC and animated movies. The response mentions a great show and Ella Fitzgerald, which are not related to the conversation."
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,1,"The response is understandable in the context of the history. The speaker mentions that they listen to music to help them focus for their chess tournaments, and the response confirms that they are competing in a national chess tournament, which helps them keep focus.",3,"The response is natural and relevant to the context of the conversation. The speaker is sharing their involvement in a chess tournament, which aligns with their previous mention of playing chess and helps to maintain the flow of the conversation.",3,"The response is on topic and strongly acknowledges the conversation history. The speaker mentions their participation in a chess tournament, which was previously discussed in the conversation.",2,"The response is somewhat interesting as it provides information about the speaker's participation in a national chess tournament, which could engage the listener in the conversation. However, it does not provide any additional interesting facts or details.",0.5,"The response mentions that the speaker is competing for a national chess tournament, which aligns with the fact that the speaker likes to play chess. However, it does not incorporate the other facts provided.",4,"The response is relevant to the conversation and provides additional information about the speaker's involvement in chess. It also explains how playing chess helps the speaker maintain focus. However, it does not directly address the question about what the speaker is training for, which was the immediate topic of conversation. Therefore, it is a good response but falls short of being perfect due to this key flaw."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1,"The response 'i am a huge sports fan . i am a huge fan of gaming .' is understandable in the context of the conversation. However, it does not seem to be related to the previous context or the given personas. Therefore, while the response is understandable, it does not seem to fit the conversation or the provided personas.",1,"The response 'i am a huge sports fan . i am a huge fan of gaming .' does not seem to be a natural continuation of the conversation, as it does not relate to the previous statements made by the speakers. Additionally, the response seems to be a repetition of the same idea, which is not a natural way of speaking.",1,"The response does not maintain the context of the conversation. The conversation is about the individuals' professions and hobbies, with one being a kindergarten teacher and the other building a robot. The response suddenly shifts to the topic of sports and gaming, which is not related to the conversation history.",2,"The response 'i am a huge sports fan . i am a huge fan of gaming .' is somewhat interesting as it provides some insight into the speaker's interests. However, it does not provide any new or particularly engaging information, and it does not relate to the previous conversation or the given facts. Therefore, it scores a 2 on the Interesting scale.",0,"The response does not use any of the given facts. It mentions being a sports fan and a gaming fan, but there is no mention of designing Starcraft, building a robot, having an allergy to water, being a famous Twitch streamer, or being a recluse.",2,"The response 'i am a huge sports fan . i am a huge fan of gaming .' does not relate to the context of the conversation, which is about the individuals' professions and hobbies. The response also does not align with any of the provided personas. Therefore, it is considered a poor response."
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,0,"The response does not seem to be directly related to the context of the conversation, which was about the Incredibles movies and their cast. The response mentions the director being perfect for the movie, but then makes an unrelated and unclear statement about him being in the movie as a kid. This statement does not align with the provided fact or the context of the conversation.",1,The response does not seem to be something that a person would naturally say in this context. The response is unrelated to the conversation and does not provide a natural continuation of the discussion about the Incredibles movies.,1,"The response does not maintain the context of the conversation. The conversation was about the Incredibles movies, the cast, and the director. The response, however, does not address any of these topics and instead introduces a new topic about the director being in the movie as a kid, which is not relevant to the conversation.",1,The response does not provide any interesting fact or engage the conversation in a meaningful way. It is a generic statement that does not add much to the conversation.,0,"The response does not mention or refer to the fact at all. It does not discuss the video game sequel to the first Incredibles movie, 'The Incredibles: Rise of the Underminer', which was released 13 years before 'Incredibles II'.",3,"The response does not relate to the given fact or the context of the conversation. It seems to be a continuation of the previous topic, but it does not provide any new or relevant information. Therefore, it is considered a neutral response."
