context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Understandable_score,Understandable_reasoning,Natural_score,Natural_reasoning,Maintains Context_score,Maintains Context_reasoning,Interesting_score,Interesting_reasoning,Uses Knowledge_score,Uses Knowledge_reasoning,Overall Quality_score,Overall Quality_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,1,"The response is clear and understandable, asking for recommendations based on the previous context about HBO shows.",3,"The response is a natural follow-up to the conversation, asking for recommendations based on shared interest in HBO content.",3,"The response directly follows up on the previous statement about liking other things HBO airs, asking for recommendations which is a natural continuation of the conversation.",2,"The response is somewhat engaging as it asks for recommendations, which can lead to further conversation, but it does not present any interesting fact or unique insight.",0,"The response does not mention or refer to any specific fact, as no fact was provided.",3,"The response is relevant to the conversation and shows interest in the other person's preferences, which can help to keep the conversation flowing. However, it does not add new information or depth to the discussion."
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,1,"The response is clear and directly answers the question about why we hiccup, providing the fact that was given.",3,"The response is clear and directly addresses the question asked. It provides the fact in a straightforward manner, which is natural in a conversation.",3,The response directly answers the question about why we hiccup and provides a fact that is relevant to the conversation.,3,"The response introduces a unique and intriguing evolutionary fact about hiccups, which is likely to engage the conversation and provide new information.",1,The response directly incorporates the provided fact about hiccups being a holdover from early evolution when land animals had both gills and lungs.,5,"The response is clear and relevant, providing the requested information about hiccups. It is a direct and concise answer that adds value to the conversation."
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,1,The response is clear and understandable given the context. It provides relevant personal information that is easy to follow.,3,The response is directly related to the fact provided and is a natural way to introduce oneself in a conversation.,2,"The response introduces new information about the respondent's age and sibling, which is not directly related to the greeting. However, it does not completely ignore the context of a greeting and personal introduction.",2,"The response is somewhat interesting as it provides personal information that could engage the other person in the conversation, but it does not present a new or surprising fact.",1,"The response mentions the fact about the brother being older, which is part of the provided persona.",3,"The response is relevant and uses information from the persona, but it does not directly address the greeting or the question about how the person is doing. It also does not provide an opportunity for the conversation to continue naturally."
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,0,The response does not relate to the previous context about the cultural revolution in China or the fact about Billy Mays' funeral. It is not clear how the statement about wearing more clothes relates to the conversation.,1,The response is not relevant to the context or the fact provided. It seems out of place and does not follow the flow of the conversation.,1,The response does not relate to the conversation about the cultural revolution in China or the previous discussion about clothing and polo shirts. It introduces a new and unrelated topic about clothing in a vague manner.,1,The response does not relate to the provided fact and does not present any interesting information relevant to the conversation.,0,The response does not mention or refer to the fact about Billy Mays' funeral at all.,1,The response does not relate to the provided fact or the context of the conversation. It also does not contribute meaningfully to the ongoing discussion.
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,1,The response is clear and understandable within the context of the conversation. It logically follows the previous statement and provides a reason for not talking to anyone about the issue.,3,The response is coherent and fits naturally within the context of the conversation. It aligns with the persona and the situation described.,3,The response is on topic and strongly acknowledges the conversation history by continuing the discussion about the lack of social interaction and ties it back to the speaker's job as a housekeeper.,2,"The response is somewhat engaging as it provides a personal detail about the speaker's job and social life, but it does not present a particularly interesting or surprising fact.",0,The response does not mention or refer to the fact about the speaker's children or her appearance.,3,"The response is relevant to the conversation and provides a reason for not talking to anyone about the issue. It also aligns with the persona of the speaker, who is a housekeeper. However, it does not address the emotional aspect of the conversation or offer a way to move forward, which could have improved the quality."
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,1,"The response is clear and understandable. It directly asks a question related to the fact provided, which is relevant to the context of the conversation about football.",3,"The response is directly related to the context and the fact provided, and it is phrased in a way that seems natural for a conversation.",2,"The response shifts the topic from the initial question about football to a specific fact about the University of Iowa's locker room, which is not directly related to the conversation.",3,"The response introduces an interesting fact about the University of Iowa's visitor locker room, which is likely to engage the conversation and add a unique piece of information.",1,"The response directly references the fact about the University of Iowa's visitor locker room being painted pink, by asking if the other person knows the color.",4,"The response is engaging and attempts to incorporate the interesting fact in a natural way. However, it does not directly answer the initial question about liking football, which could be seen as a minor flaw."
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,0,"The response is not directly related to the previous context about events in DC and the U.S. Postal Museum's 25th birthday celebration. It abruptly shifts to a question about Ella Fitzgerald, which is not connected to the prior conversation.",1,"The response is not naturally connected to the previous conversation about Studio Ghibli and animated films. It abruptly shifts to a recommendation about a show and then to Ella Fitzgerald, which is unrelated to the context.",1,"The response does not acknowledge the conversation history about Studio Ghibli, animated films, or the specific events in D.C. Instead, it shifts to a new topic about a show and Ella Fitzgerald.",1,The response is somewhat generic and does not directly relate to the interesting fact provided. It also does not seem to follow the flow of the conversation about events in D.C.,0,"The response does not mention or refer to the fact provided about the events in D.C. Instead, it shifts to a different topic, suggesting to check out a show and mentioning Ella Fitzgerald.",2,The response is somewhat disconnected from the previous conversation about events in DC and does not relate to the provided fact. It also introduces a new topic (Ella Fitzgerald) without context or relevance to the ongoing discussion.
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,1,The response is clear and understandable within the context of the conversation. It logically follows from the previous mention of chess tournaments and provides a relevant update on the speaker's current activities.,3,"The response is coherent and relevant to the conversation, fitting naturally with the context of chess and personal habits.",3,The response is on topic and strongly acknowledges the conversation history by continuing the discussion about chess and linking it to the speaker's personal experience and current activities.,3,"The response introduces a specific and engaging detail about the speaker's life, which is relevant to the conversation and could spark further discussion.",1,"The response uses the fact that the persona likes to play chess and is currently preparing for a chess tournament, which aligns with the persona's interest.",4,"The response is relevant to the conversation and aligns with the persona. It provides a natural continuation by explaining the reason for the dietary and lifestyle choices mentioned earlier. However, it could have been more engaging by asking a question or adding a personal touch."
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,1,"The response is understandable in the context of the conversation. It introduces a new topic (sports and gaming) which is coherent and can be followed, even though it does not directly relate to the previous statement about being clumsy with electronics.",1,The response does not fit the context of the conversation about zodiac signs and is not naturally related to the previous statements.,1,The response does not acknowledge the conversation history and introduces a new topic unrelated to the previous exchanges.,2,"The response is somewhat engaging as it shares personal interests, but it does not present a new or surprising fact.",0,The response does not mention or refer to any of the provided facts.,2,The response does not align with the provided persona facts and does not contribute to the conversation in a meaningful way.
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,0,"The response does not clearly relate to the fact provided and introduces a new, unrelated claim about the director being in the movie as a kid, which is not understandable in the context of the conversation.",2,The response is not directly related to the fact provided and does not seem to naturally follow the conversation about the cast and director of the Incredibles movies. It is somewhat related but lacks context and natural flow.,1,"The response does not acknowledge the conversation history about the director's involvement in the movie and instead shifts to a new topic about the director being in the movie as a kid, which is not related to the previous discussion.",1,"The response does not mention the interesting fact provided and instead gives a less engaging comment about the director being in the movie as a kid, which is not as intriguing.",0,The response does not mention or refer to the fact about the video game sequel.,2,"The response does not relate to the provided fact and does not add value to the conversation. It also contains an error, as the director was not in the movie as a kid."
